"timestep","site","spp","count"
1,1,"spp1",53687
1,2,"spp1",143535
1,3,"spp1",8987
1,4,"spp1",0
1,5,"spp1",0
1,1,"spp2",0
1,2,"spp2",17823
1,3,"spp2",89469
1,4,"spp2",0
1,5,"spp2",0
1,1,"spp3",146313
1,2,"spp3",38642
1,3,"spp3",101544
1,4,"spp3",2e+05
1,5,"spp3",2e+05
2,1,"spp1",25907
2,2,"spp1",7053
2,3,"spp1",187144
2,4,"spp1",93944
2,5,"spp1",287
2,1,"spp2",174093
2,2,"spp2",441
2,3,"spp2",12856
2,4,"spp2",106056
2,5,"spp2",0
2,1,"spp3",0
2,2,"spp3",192506
2,3,"spp3",0
2,4,"spp3",0
2,5,"spp3",199713
3,1,"spp1",4020
3,2,"spp1",3045
3,3,"spp1",199781
3,4,"spp1",58521
3,5,"spp1",589
3,1,"spp2",195980
3,2,"spp2",698
3,3,"spp2",219
3,4,"spp2",141479
3,5,"spp2",0
3,1,"spp3",0
3,2,"spp3",196257
3,3,"spp3",0
3,4,"spp3",0
3,5,"spp3",199411
4,1,"spp1",2673
4,2,"spp1",2561
4,3,"spp1",199901
4,4,"spp1",33558
4,5,"spp1",588
4,1,"spp2",197327
4,2,"spp2",810
4,3,"spp2",99
4,4,"spp2",166442
4,5,"spp2",0
4,1,"spp3",0
4,2,"spp3",196629
4,3,"spp3",0
4,4,"spp3",0
4,5,"spp3",199412
5,1,"spp1",2255
5,2,"spp1",2175
5,3,"spp1",199886
5,4,"spp1",19015
5,5,"spp1",598
5,1,"spp2",197745
5,2,"spp2",911
5,3,"spp2",114
5,4,"spp2",180985
5,5,"spp2",0
5,1,"spp3",0
5,2,"spp3",196914
5,3,"spp3",0
5,4,"spp3",0
5,5,"spp3",199402
6,1,"spp1",2089
6,2,"spp1",2141
6,3,"spp1",199875
6,4,"spp1",11407
6,5,"spp1",623
6,1,"spp2",197911
6,2,"spp2",901
6,3,"spp2",125
6,4,"spp2",188593
6,5,"spp2",0
6,1,"spp3",0
6,2,"spp3",196958
6,3,"spp3",0
6,4,"spp3",0
6,5,"spp3",199377
7,1,"spp1",1976
7,2,"spp1",2070
7,3,"spp1",199901
7,4,"spp1",7704
7,5,"spp1",632
7,1,"spp2",198024
7,2,"spp2",866
7,3,"spp2",99
7,4,"spp2",192296
7,5,"spp2",0
7,1,"spp3",0
7,2,"spp3",197064
7,3,"spp3",0
7,4,"spp3",0
7,5,"spp3",199368
8,1,"spp1",1904
8,2,"spp1",1969
8,3,"spp1",199869
8,4,"spp1",6031
8,5,"spp1",594
8,1,"spp2",198096
8,2,"spp2",908
8,3,"spp2",131
8,4,"spp2",193969
8,5,"spp2",0
8,1,"spp3",0
8,2,"spp3",197123
8,3,"spp3",0
8,4,"spp3",0
8,5,"spp3",199406
9,1,"spp1",1855
9,2,"spp1",1934
9,3,"spp1",199870
9,4,"spp1",5344
9,5,"spp1",593
9,1,"spp2",198145
9,2,"spp2",902
9,3,"spp2",130
9,4,"spp2",194656
9,5,"spp2",0
9,1,"spp3",0
9,2,"spp3",197164
9,3,"spp3",0
9,4,"spp3",0
9,5,"spp3",199407
10,1,"spp1",1990
10,2,"spp1",1951
10,3,"spp1",199878
10,4,"spp1",4824
10,5,"spp1",543
10,1,"spp2",198010
10,2,"spp2",935
10,3,"spp2",122
10,4,"spp2",195176
10,5,"spp2",0
10,1,"spp3",0
10,2,"spp3",197114
10,3,"spp3",0
10,4,"spp3",0
10,5,"spp3",199457
