grid_point,x_coord_m,y_coord_m,elevation_m
1,449378.853,4434085.675,3565.5
2,449431.347,4434074.133,3555.6
3,449481.473,4434065.079,3547.8
4,449528.105,4434050.12,3541.2
5,449575.671,4434038.334,3535.6
6,449617.954,4434027.172,3531.1
7,449666.367,4434012.591,3528.4
8,449721.138,4433996.594,3528.2
9,449763.51,4433983.881,3527.4
10,449816.502,4433973.837,3533.7
11,449387.34,4434134.667,3569.7
12,449444.245,4434118.913,3558.7
13,449491.772,4434110.921,3548.9
14,449534.828,4434100.893,3542.6
15,449588.012,4434086.683,3537
16,449632.041,4434069.339,3532.1
17,449683.632,4434061.565,3528.7
18,449727.045,4434048.314,3530.4
19,449779.763,4434034.114,3531.5
20,449829.06,4434022.378,3538.6
22,449452.168,4434171.382,3561.7
23,449505.608,4434158.994,3550
24,449555.425,4434141.605,3541.4
25,449600.06,4434129.317,3537
26,449648.811,4434119.495,3532.6
27,449691.537,4434110.033,3529.8
28,449743.862,4434096.679,3530.1
29,449791.142,4434079.66,3532.6
30,449841.431,4434070.974,3536.5
31,449417.445,4434234.104,3571.1
32,449462.996,4434218.523,3561.3
32,449409.283,4434178.722,3571
33,449520.161,4434208.878,3550.6
34,449565.39,4434197.067,3540.9
35,449608.007,4434179.75,3535.2
36,449660.974,4434167.519,3531.3
37,449708.622,4434156.915,3528.7
38,449753.522,4434143.463,3529.4
39,449804.699,4434131.505,3530.2
40,449854.851,4434118.666,3533.4
41,449437.307,4434281.227,3566.3
42,449476.558,4434264.427,3558
43,449524.596,4434258.369,3548.2
44,449574.337,4434240.693,3539.2
45,449628.025,4434227.103,3532.4
46,449674.524,4434219.531,3526.3
47,449716.92,4434205.667,3524.2
48,449769.916,4434193.895,3526.4
49,449817.134,4434179.529,3526.6
50,449867.475,4434162.509,3530.7
51,449440.049,4434325.188,3561.9
52,449489.738,4434312.286,3553
53,449544.634,4434298.738,3542.2
54,449586.733,4434292.821,3534.8
55,449636.647,4434273.248,3528.1
56,449688.558,4434267.684,3521.5
57,449734.226,4434251.054,3521.4
58,449780.962,4434241.395,3521.7
59,449831.067,4434225.711,3524.3
60,449879.471,4434213.842,3526.6
61,449462.857,4434378.369,3551.8
62,449501.029,4434365.555,3545
63,449549.66,4434347.73,3537.3
64,449605.476,4434342.179,3529
66,449700.887,4434316.516,3515.3
66,449645.04,4434328.263,3521.9
67,449746.595,4434303.451,3516.5
68,449794.383,4434289.291,3516.9
69,449843.307,4434277.544,3519
70,449892.607,4434262.513,3521.9
71,449467.082,4434425.485,3543.4
72,449524.693,4434406.953,3535.9
73,449563.855,4434394.219,3528.6
74,449616.102,4434383.287,3520.1
75,449665.971,4434368.91,3515.4
76,449705.757,4434354.48,3510.8
77,449761.34,4434352.605,3508.2
78,449810.279,4434332.9,3512.6
79,449856.599,4434324.87,3512.4
80,449906.812,4434309.889,3514.4
101,449865.043,4433960.44,3539.4
201,449876.403,4434002.945,3544.4
301,449883.868,4434062.163,3543.1
401,449903.4,4434101.735,3540.4
501,449909.654,4434149.074,3536.4
601,449928.136,4434202.162,3534.1
701,449940.826,4434250.699,3529.6
801,449953.772,4434293.177,3522.4
