"","USDA_code","func","plot","year","abund","is_veg","USDA_name","Weber_family","category","orig_cluster","class_3"
"1","2COMP","Forb","76",2010,3,2,"Unknown composite","Asteraceae","vascular","SB-CAPY3","SB"
"2","2COMP","Forb","76",1989,0,2,"Unknown composite","Asteraceae","vascular","SB-CAPY3","SB"
"3","2COMP","Forb","76",1995,0,2,"Unknown composite","Asteraceae","vascular","SB-CAPY3","SB"
"4","2COMP","Forb","76",2013,0,2,"Unknown composite","Asteraceae","vascular","SB-CAPY3","SB"
"5","2COMP","Forb","76",2014,0,2,"Unknown composite","Asteraceae","vascular","SB-CAPY3","SB"
"6","2COMP","Forb","76",2008,1,2,"Unknown composite","Asteraceae","vascular","SB-CAPY3","SB"
"7","2COMP","Forb","76",2012,0,2,"Unknown composite","Asteraceae","vascular","SB-CAPY3","SB"
"8","2COMP","Forb","76",2006,0,2,"Unknown composite","Asteraceae","vascular","SB-CAPY3","SB"
"9","2COMP","Forb","76",2011,2,2,"Unknown composite","Asteraceae","vascular","SB-CAPY3","SB"
"10","2COMP","Forb","76",1990,0,2,"Unknown composite","Asteraceae","vascular","SB-CAPY3","SB"
"11","2COMP","Forb","76",1997,0,2,"Unknown composite","Asteraceae","vascular","SB-CAPY3","SB"
"12","2FORB","Forb","61",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"13","2FORB","Forb","5",1989,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB","SB"
"14","2FORB","Forb","78",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"15","2FORB","Forb","68",1997,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"16","2FORB","Forb","5",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB","SB"
"17","2FORB","Forb","501",2008,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"18","2FORB","Forb","80",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"19","2FORB","Forb","70",1990,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"20","2FORB","Forb","57",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"21","2FORB","Forb","57",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"22","2FORB","Forb","51",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"23","2FORB","Forb","29",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"24","2FORB","Forb","61",1995,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"25","2FORB","Forb","51",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"26","2FORB","Forb","16",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"27","2FORB","Forb","20",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"28","2FORB","Forb","76",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"29","2FORB","Forb","78",1989,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"30","2FORB","Forb","79",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"31","2FORB","Forb","29",1997,2,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"32","2FORB","Forb","10",1989,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"33","2FORB","Forb","501",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"34","2FORB","Forb","20",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"35","2FORB","Forb","45",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"36","2FORB","Forb","40",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"37","2FORB","Forb","45",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"38","2FORB","Forb","56",1990,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"39","2FORB","Forb","61",2011,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"40","2FORB","Forb","601",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"41","2FORB","Forb","25",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"42","2FORB","Forb","5",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB","SB"
"43","2FORB","Forb","16",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"44","2FORB","Forb","20",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"45","2FORB","Forb","36",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"46","2FORB","Forb","68",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"47","2FORB","Forb","601",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"48","2FORB","Forb","25",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"49","2FORB","Forb","76",2014,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"50","2FORB","Forb","25",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"51","2FORB","Forb","51",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"52","2FORB","Forb","27",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"53","2FORB","Forb","56",2014,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"54","2FORB","Forb","58",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"55","2FORB","Forb","19",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"56","2FORB","Forb","79",1989,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"57","2FORB","Forb","36",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"58","2FORB","Forb","29",1995,2,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"59","2FORB","Forb","66",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"60","2FORB","Forb","79",2010,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"61","2FORB","Forb","10",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"62","2FORB","Forb","78",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"63","2FORB","Forb","401",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"64","2FORB","Forb","76",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"65","2FORB","Forb","36",1989,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"66","2FORB","Forb","34",1990,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"67","2FORB","Forb","16",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-SIPR","SB"
"68","2FORB","Forb","76",1990,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"69","2FORB","Forb","401",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"70","2FORB","Forb","79",2006,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"71","2FORB","Forb","58",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"72","2FORB","Forb","19",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
"73","2FORB","Forb","68",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","WM","WM"
"74","2FORB","Forb","80",2013,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"75","2FORB","Forb","601",2014,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"76","2FORB","Forb","27",1989,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","MM","MM"
"77","2FORB","Forb","66",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"78","2FORB","Forb","70",1995,3,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"79","2FORB","Forb","40",1989,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"80","2FORB","Forb","76",2010,1,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","SB-CAPY3","SB"
"81","2FORB","Forb","601",1997,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"82","2FORB","Forb","40",2012,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","DM","DM"
"83","2FORB","Forb","10",2008,0,2,"Forb (herbaceous, not grass nor grasslike)","N/A","vascular","FF","FF"
