PRISM Time Series Data,
Location:  Lat: 25.4700   Lon: -80.8500   Elev: 0m,
Climate variable: tmean,
Spatial resolution: 4km,
Period: 2005-01 - 2011-12,
Dataset: AN81m,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,
Grid Cell Interpolation: On,
Time series generated: 2017-Jul-26,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,
Date,tmean (degrees C)
2005-01,18.8
2005-02,18.8
2005-03,20.5
2005-04,21.4
2005-05,24.6
2005-06,27
2005-07,29
2005-08,29.2
2005-09,28.7
2005-10,26.1
2005-11,23.5
2005-12,19.4
2006-01,19.2
2006-02,18.5
2006-03,20.6
2006-04,23.3
2006-05,24.7
2006-06,27.3
2006-07,27.7
2006-08,28.6
2006-09,28.2
2006-10,25.7
2006-11,21.8
2006-12,22.6
2007-01,21.2
2007-02,19.2
2007-03,21.8
2007-04,22.5
2007-05,24.7
2007-06,27.1
2007-07,28.8
2007-08,29.1
2007-09,28.2
2007-10,27.3
2007-11,22.7
2007-12,22.1
2008-01,19.4
2008-02,22
2008-03,21.8
2008-04,23.1
2008-05,25.7
2008-06,27.6
2008-07,27.9
2008-08,28.6
2008-09,28.3
2008-10,25.4
2008-11,21
2008-12,20.7
2009-01,18.3
2009-02,18
2009-03,20.8
2009-04,23.5
2009-05,25.7
2009-06,27.8
2009-07,28.8
2009-08,29.2
2009-09,28.7
2009-10,27.3
2009-11,23.5
2009-12,21.5
2010-01,16
2010-02,16.8
2010-03,18.1
2010-04,22.6
2010-05,26.7
2010-06,29.4
2010-07,29.1
2010-08,29.4
2010-09,28.5
2010-10,25.9
2010-11,22.3
2010-12,15.4
2011-01,18.1
2011-02,20.5
2011-03,21.5
2011-04,25
2011-05,25.7
2011-06,27.6
2011-07,28.5
2011-08,28.9
2011-09,28.4
2011-10,25.4
2011-11,23.4
2011-12,21.4
