PRISM Time Series Data
Location:  Lat: 32.5100   Lon: -106.7400   Elev: 1323m
Climate variable: tmean
Spatial resolution: 4km
Period: 1990-01 - 2005-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2017-Jul-26
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmean (degrees C)
1990-01,  3.9
1990-02,  5.8
1990-03, 10.8
1990-04, 16.4
1990-05, 19.2
1990-06, 27.0
1990-07, 25.1
1990-08, 23.0
1990-09, 21.9
1990-10, 15.3
1990-11,  9.8
1990-12,  4.5
1991-01,  4.6
1991-02,  8.1
1991-03,  9.2
1991-04, 14.3
1991-05, 19.3
1991-06, 23.0
1991-07, 24.7
1991-08, 24.3
1991-09, 20.1
1991-10, 16.2
1991-11,  8.1
1991-12,  5.0
1992-01,  3.3
1992-02,  6.8
1992-03, 10.2
1992-04, 16.0
1992-05, 18.4
1992-06, 22.6
1992-07, 25.7
1992-08, 24.8
1992-09, 22.3
1992-10, 16.5
1992-11,  6.7
1992-12,  4.2
1993-01,  6.6
1993-02,  7.5
1993-03, 10.6
1993-04, 14.7
1993-05, 19.3
1993-06, 24.5
1993-07, 26.3
1993-08, 25.3
1993-09, 21.5
1993-10, 15.1
1993-11,  8.1
1993-12,  4.6
1994-01,  4.9
1994-02,  6.3
1994-03, 11.2
1994-04, 14.9
1994-05, 20.0
1994-06, 27.4
1994-07, 27.7
1994-08, 27.1
1994-09, 22.3
1994-10, 15.9
1994-11, 10.0
1994-12,  7.0
1995-01,  5.3
1995-02, 10.4
1995-03, 11.9
1995-04, 13.2
1995-05, 18.9
1995-06, 24.2
1995-07, 26.3
1995-08, 26.7
1995-09, 22.1
1995-10, 16.8
1995-11, 11.7
1995-12,  6.6
1996-01,  5.7
1996-02, 10.4
1996-03, 10.1
1996-04, 15.2
1996-05, 22.5
1996-06, 26.2
1996-07, 27.0
1996-08, 24.9
1996-09, 20.8
1996-10, 16.6
1996-11, 10.1
1996-12,  5.0
1997-01,  4.4
1997-02,  7.0
1997-03, 12.0
1997-04, 13.7
1997-05, 20.7
1997-06, 23.8
1997-07, 26.4
1997-08, 25.3
1997-09, 23.8
1997-10, 15.4
1997-11,  9.8
1997-12,  2.5
1998-01,  6.3
1998-02,  6.5
1998-03,  9.5
1998-04, 12.6
1998-05, 19.8
1998-06, 23.9
1998-07, 27.1
1998-08, 25.5
1998-09, 24.6
1998-10, 17.2
1998-11, 11.2
1998-12,  5.7
1999-01,  7.4
1999-02,  9.4
1999-03, 11.8
1999-04, 13.9
1999-05, 19.6
1999-06, 23.4
1999-07, 25.9
1999-08, 25.5
1999-09, 22.5
1999-10, 16.2
1999-11, 11.7
1999-12,  4.1
2000-01,  7.7
2000-02,  9.6
2000-03, 11.3
2000-04, 17.4
2000-05, 22.9
2000-06, 25.0
2000-07, 27.3
2000-08, 26.0
2000-09, 24.0
2000-10, 15.9
2000-11,  6.8
2000-12,  5.4
2001-01,  4.3
2001-02,  7.9
2001-03, 10.9
2001-04, 15.8
2001-05, 21.5
2001-06, 25.9
2001-07, 27.4
2001-08, 25.9
2001-09, 23.0
2001-10, 17.8
2001-11, 11.2
2001-12,  4.4
2002-01,  5.9
2002-02,  6.2
2002-03, 10.9
2002-04, 18.5
2002-05, 20.5
2002-06, 27.1
2002-07, 26.3
2002-08, 26.8
2002-09, 23.1
2002-10, 16.0
2002-11,  9.2
2002-12,  4.8
2003-01,  7.7
2003-02,  7.8
2003-03, 10.8
2003-04, 15.1
2003-05, 21.1
2003-06, 25.1
2003-07, 28.2
2003-08, 27.2
2003-09, 23.5
2003-10, 19.0
2003-11, 11.0
2003-12,  5.3
2004-01,  6.4
2004-02,  6.0
2004-03, 13.1
2004-04, 15.1
2004-05, 21.0
2004-06, 24.7
2004-07, 26.6
2004-08, 24.6
2004-09, 21.5
2004-10, 16.5
2004-11,  8.5
2004-12,  4.1
2005-01,  7.5
2005-02,  7.8
2005-03, 10.0
2005-04, 15.0
2005-05, 20.2
2005-06, 25.4
2005-07, 28.1
2005-08, 25.3
2005-09, 24.0
2005-10, 16.6
2005-11, 10.9
2005-12,  6.5
