PRISM Time Series Data,
Location:  Lat: 40.0300   Lon: -105.5400   Elev: 2968m,
Climate variable: tmean,
Spatial resolution: 4km,
Period: 1989-01 - 2014-12,
Dataset: AN81m,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,
Grid Cell Interpolation: On,
Time series generated: 2017-Jul-26,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,
Date,tmean (degrees C)
1989-01,-6.6
1989-02,-7.7
1989-03,-0.8
1989-04,1.7
1989-05,5.8
1989-06,8.6
1989-07,14.7
1989-08,12.1
1989-09,8.9
1989-10,3.6
1989-11,-2
1989-12,-7.7
1990-01,-6.8
1990-02,-6.4
1990-03,-2.3
1990-04,1.4
1990-05,3.9
1990-06,11.5
1990-07,12.1
1990-08,11.7
1990-09,10.1
1990-10,3.5
1990-11,-1.2
1990-12,-8.3
1991-01,-7.9
1991-02,-3.7
1991-03,-4
1991-04,0
1991-05,5.3
1991-06,10.1
1991-07,12.3
1991-08,12.3
1991-09,8.3
1991-10,4.1
1991-11,-4.7
1991-12,-6
1992-01,-6
1992-02,-4.6
1992-03,-1.5
1992-04,3
1992-05,6.3
1992-06,8.6
1992-07,11.7
1992-08,11.3
1992-09,9.2
1992-10,5.3
1992-11,-6.1
1992-12,-7.3
1993-01,-6.2
1993-02,-6.8
1993-03,-2.3
1993-04,-0.4
1993-05,5.1
1993-06,8.7
1993-07,11.8
1993-08,11.4
1993-09,7.2
1993-10,2.1
1993-11,-5.3
1993-12,-6.6
1994-01,-6.4
1994-02,-7
1994-03,-1.9
1994-04,0.4
1994-05,6.8
1994-06,12.2
1994-07,13.1
1994-08,13.5
1994-09,9.1
1994-10,2.6
1994-11,-3.7
1994-12,-3.9
1995-01,-6.6
1995-02,-2.9
1995-03,-2.6
1995-04,-1.2
1995-05,2.5
1995-06,8.1
1995-07,12.1
1995-08,14.2
1995-09,8.3
1995-10,3
1995-11,-1.5
1995-12,-5.5
1996-01,-7.7
1996-02,-4.8
1996-03,-3.6
1996-04,0.5
1996-05,6.3
1996-06,10.7
1996-07,13.9
1996-08,12.8
1996-09,7.3
1996-10,3.1
1996-11,-1.8
1996-12,-7.5
1997-01,-7
1997-02,-6.9
1997-03,-1.3
1997-04,-2.4
1997-05,5
1997-06,9.9
1997-07,13.5
1997-08,12.6
1997-09,10.1
1997-10,3.6
1997-11,-4.7
1997-12,-7.1
1998-01,-5.5
1998-02,-6.2
1998-03,-3.3
1998-04,-1.2
1998-05,6.2
1998-06,8.4
1998-07,14.1
1998-08,12.8
1998-09,11
1998-10,3.3
1998-11,-1.2
1998-12,-6
1999-01,-5.7
1999-02,-4.5
1999-03,-0.7
1999-04,-1.6
1999-05,3.8
1999-06,9.2
1999-07,14.4
1999-08,12.3
1999-09,7.2
1999-10,4.7
1999-11,2
1999-12,-5.7
2000-01,-5.5
2000-02,-3.1
2000-03,-2.4
2000-04,2.6
2000-05,6.8
2000-06,10.7
2000-07,15.1
2000-08,14.7
2000-09,9.4
2000-10,4
2000-11,-6.6
2000-12,-6.5
2001-01,-6.4
2001-02,-5.1
2001-03,-2.7
2001-04,2
2001-05,6
2001-06,11.6
2001-07,15.1
2001-08,13.2
2001-09,10.1
2001-10,4.3
2001-11,-0.2
2001-12,-6.1
2002-01,-6.9
2002-02,-7
2002-03,-5.1
2002-04,3.2
2002-05,5.1
2002-06,12.7
2002-07,15.6
2002-08,12.8
2002-09,9.7
2002-10,1.8
2002-11,-2.9
2002-12,-5.7
2003-01,-2.5
2003-02,-7.3
2003-03,-2.7
2003-04,2
2003-05,5.7
2003-06,8.9
2003-07,16.3
2003-08,14.2
2003-09,8
2003-10,6.6
2003-11,-3.5
2003-12,-3.9
2004-01,-5.5
2004-02,-7.1
2004-03,0.3
2004-04,1.1
2004-05,6.3
2004-06,9
2004-07,12.3
2004-08,11
2004-09,8.7
2004-10,3.7
2004-11,-2.4
2004-12,-4.5
2005-01,-3
2005-02,-4.7
2005-03,-3.3
2005-04,1.8
2005-05,5.3
2005-06,9.9
2005-07,14.9
2005-08,12.4
2005-09,10.1
2005-10,4.9
2005-11,-0.9
2005-12,-6.8
2006-01,-5
2006-02,-6.1
2006-03,-2.7
2006-04,3
2006-05,7
2006-06,12.3
2006-07,14.3
2006-08,12.6
2006-09,6.8
2006-10,2.9
2006-11,-1.1
2006-12,-5.1
2007-01,-7.3
2007-02,-5.1
2007-03,0.5
2007-04,1.1
2007-05,6
2007-06,11.1
2007-07,14.8
2007-08,14.3
2007-09,10
2007-10,4.7
2007-11,0.6
2007-12,-6.9
2008-01,-8
2008-02,-6
2008-03,-3.8
2008-04,-0.4
2008-05,4.5
2008-06,10
2008-07,14.6
2008-08,13
2008-09,8.8
2008-10,4.6
2008-11,0.7
2008-12,-6.3
2009-01,-4.1
2009-02,-3.1
2009-03,-1.3
2009-04,0.2
2009-05,6.5
2009-06,9.5
2009-07,13
2009-08,12.5
2009-09,9.1
2009-10,0.5
2009-11,0.9
2009-12,-8.8
2010-01,-4.9
2010-02,-7.2
2010-03,-2.3
2010-04,1
2010-05,3.4
2010-06,11.2
2010-07,14
2010-08,13.3
2010-09,11.3
2010-10,4.7
2010-11,-2.5
2010-12,-3.3
2011-01,-6.7
2011-02,-8.1
2011-03,-1.5
2011-04,0.2
2011-05,3.1
2011-06,10.3
2011-07,14.5
2011-08,14.9
2011-09,9.5
2011-10,4.3
2011-11,-1.7
2011-12,-5.6
2012-01,-3.9
2012-02,-6.7
2012-03,1.1
2012-04,4
2012-05,6.4
2012-06,13.8
2012-07,14.8
2012-08,13.9
2012-09,9.9
2012-10,3.6
2012-11,1.4
2012-12,-5.3
2013-01,-6
2013-02,-6.9
2013-03,-3.2
2013-04,-1.6
2013-05,5.3
2013-06,12
2013-07,13.7
2013-08,13.7
2013-09,10.4
2013-10,2.5
2013-11,-0.9
2013-12,-6.4
2014-01,-5.4
2014-02,-6
2014-03,-1.9
2014-04,0.9
2014-05,5.1
2014-06,10.7
2014-07,14
2014-08,12
2014-09,10.4
2014-10,5.9
2014-11,-2.1
2014-12,-4
