"year","month","tmean"
2005,"Jan",18.8
2005,"Feb",18.8
2005,"Mar",20.5
2005,"Apr",21.4
2005,"May",24.6
2005,"Jun",27
2005,"Jul",29
2005,"Aug",29.2
2005,"Sep",28.7
2005,"Oct",26.1
2005,"Nov",23.5
2005,"Dec",19.4
2006,"Jan",19.2
2006,"Feb",18.5
2006,"Mar",20.6
2006,"Apr",23.3
2006,"May",24.7
2006,"Jun",27.3
2006,"Jul",27.7
2006,"Aug",28.6
2006,"Sep",28.2
2006,"Oct",25.7
2006,"Nov",21.8
2006,"Dec",22.6
2007,"Jan",21.2
2007,"Feb",19.2
2007,"Mar",21.8
2007,"Apr",22.5
2007,"May",24.7
2007,"Jun",27.1
2007,"Jul",28.8
2007,"Aug",29.1
2007,"Sep",28.2
2007,"Oct",27.3
2007,"Nov",22.7
2007,"Dec",22.1
2008,"Jan",19.4
2008,"Feb",22
2008,"Mar",21.8
2008,"Apr",23.1
2008,"May",25.7
2008,"Jun",27.6
2008,"Jul",27.9
2008,"Aug",28.6
2008,"Sep",28.3
2008,"Oct",25.4
2008,"Nov",21
2008,"Dec",20.7
2009,"Jan",18.3
2009,"Feb",18
2009,"Mar",20.8
2009,"Apr",23.5
2009,"May",25.7
2009,"Jun",27.8
2009,"Jul",28.8
2009,"Aug",29.2
2009,"Sep",28.7
2009,"Oct",27.3
2009,"Nov",23.5
2009,"Dec",21.5
2010,"Jan",16
2010,"Feb",16.8
2010,"Mar",18.1
2010,"Apr",22.6
2010,"May",26.7
2010,"Jun",29.4
2010,"Jul",29.1
2010,"Aug",29.4
2010,"Sep",28.5
2010,"Oct",25.9
2010,"Nov",22.3
2010,"Dec",15.4
2011,"Jan",18.1
2011,"Feb",20.5
2011,"Mar",21.5
2011,"Apr",25
2011,"May",25.7
2011,"Jun",27.6
2011,"Jul",28.5
2011,"Aug",28.9
2011,"Sep",28.4
2011,"Oct",25.4
2011,"Nov",23.4
2011,"Dec",21.4
