"year","month","tmean"
1990,"Jan",3.9
1990,"Feb",5.8
1990,"Mar",10.8
1990,"Apr",16.4
1990,"May",19.2
1990,"Jun",27
1990,"Jul",25.1
1990,"Aug",23
1990,"Sep",21.9
1990,"Oct",15.3
1990,"Nov",9.8
1990,"Dec",4.5
1991,"Jan",4.6
1991,"Feb",8.1
1991,"Mar",9.2
1991,"Apr",14.3
1991,"May",19.3
1991,"Jun",23
1991,"Jul",24.7
1991,"Aug",24.3
1991,"Sep",20.1
1991,"Oct",16.2
1991,"Nov",8.1
1991,"Dec",5
1992,"Jan",3.3
1992,"Feb",6.8
1992,"Mar",10.2
1992,"Apr",16
1992,"May",18.4
1992,"Jun",22.6
1992,"Jul",25.7
1992,"Aug",24.8
1992,"Sep",22.3
1992,"Oct",16.5
1992,"Nov",6.7
1992,"Dec",4.2
1993,"Jan",6.6
1993,"Feb",7.5
1993,"Mar",10.6
1993,"Apr",14.7
1993,"May",19.3
1993,"Jun",24.5
1993,"Jul",26.3
1993,"Aug",25.3
1993,"Sep",21.5
1993,"Oct",15.1
1993,"Nov",8.1
1993,"Dec",4.6
1994,"Jan",4.9
1994,"Feb",6.3
1994,"Mar",11.2
1994,"Apr",14.9
1994,"May",20
1994,"Jun",27.4
1994,"Jul",27.7
1994,"Aug",27.1
1994,"Sep",22.3
1994,"Oct",15.9
1994,"Nov",10
1994,"Dec",7
1995,"Jan",5.3
1995,"Feb",10.4
1995,"Mar",11.9
1995,"Apr",13.2
1995,"May",18.9
1995,"Jun",24.2
1995,"Jul",26.3
1995,"Aug",26.7
1995,"Sep",22.1
1995,"Oct",16.8
1995,"Nov",11.7
1995,"Dec",6.6
1996,"Jan",5.7
1996,"Feb",10.4
1996,"Mar",10.1
1996,"Apr",15.2
1996,"May",22.5
1996,"Jun",26.2
1996,"Jul",27
1996,"Aug",24.9
1996,"Sep",20.8
1996,"Oct",16.6
1996,"Nov",10.1
1996,"Dec",5
1997,"Jan",4.4
1997,"Feb",7
1997,"Mar",12
1997,"Apr",13.7
1997,"May",20.7
1997,"Jun",23.8
1997,"Jul",26.4
1997,"Aug",25.3
1997,"Sep",23.8
1997,"Oct",15.4
1997,"Nov",9.8
1997,"Dec",2.5
1998,"Jan",6.3
1998,"Feb",6.5
1998,"Mar",9.5
1998,"Apr",12.6
1998,"May",19.8
1998,"Jun",23.9
1998,"Jul",27.1
1998,"Aug",25.5
1998,"Sep",24.6
1998,"Oct",17.2
1998,"Nov",11.2
1998,"Dec",5.7
1999,"Jan",7.4
1999,"Feb",9.4
1999,"Mar",11.8
1999,"Apr",13.9
1999,"May",19.6
1999,"Jun",23.4
1999,"Jul",25.9
1999,"Aug",25.5
1999,"Sep",22.5
1999,"Oct",16.2
1999,"Nov",11.7
1999,"Dec",4.1
2000,"Jan",7.7
2000,"Feb",9.6
2000,"Mar",11.3
2000,"Apr",17.4
2000,"May",22.9
2000,"Jun",25
2000,"Jul",27.3
2000,"Aug",26
2000,"Sep",24
2000,"Oct",15.9
2000,"Nov",6.8
2000,"Dec",5.4
2001,"Jan",4.3
2001,"Feb",7.9
2001,"Mar",10.9
2001,"Apr",15.8
2001,"May",21.5
2001,"Jun",25.9
2001,"Jul",27.4
2001,"Aug",25.9
2001,"Sep",23
2001,"Oct",17.8
2001,"Nov",11.2
2001,"Dec",4.4
2002,"Jan",5.9
2002,"Feb",6.2
2002,"Mar",10.9
2002,"Apr",18.5
2002,"May",20.5
2002,"Jun",27.1
2002,"Jul",26.3
2002,"Aug",26.8
2002,"Sep",23.1
2002,"Oct",16
2002,"Nov",9.2
2002,"Dec",4.8
2003,"Jan",7.7
2003,"Feb",7.8
2003,"Mar",10.8
2003,"Apr",15.1
2003,"May",21.1
2003,"Jun",25.1
2003,"Jul",28.2
2003,"Aug",27.2
2003,"Sep",23.5
2003,"Oct",19
2003,"Nov",11
2003,"Dec",5.3
2004,"Jan",6.4
2004,"Feb",6
2004,"Mar",13.1
2004,"Apr",15.1
2004,"May",21
2004,"Jun",24.7
2004,"Jul",26.6
2004,"Aug",24.6
2004,"Sep",21.5
2004,"Oct",16.5
2004,"Nov",8.5
2004,"Dec",4.1
2005,"Jan",7.5
2005,"Feb",7.8
2005,"Mar",10
2005,"Apr",15
2005,"May",20.2
2005,"Jun",25.4
2005,"Jul",28.1
2005,"Aug",25.3
2005,"Sep",24
2005,"Oct",16.6
2005,"Nov",10.9
2005,"Dec",6.5
