"year","month","tmean"
"2006","Jan","28.4725799560547"
"2006","Feb","28.9680595397949"
"2006","Mar","28.8382167816162"
"2006","Apr","28.2605476379395"
"2006","May","27.6638145446777"
"2006","Jun","26.3754425048828"
"2006","Jul","25.4503841400146"
"2006","Aug","24.6347484588623"
"2006","Sep","24.2459926605225"
"2006","Oct","24.5233364105225"
"2006","Nov","25.1256713867188"
"2006","Dec","26.290620803833"
"2007","Jan","27.1088485717773"
"2007","Feb","28.3379726409912"
"2007","Mar","27.9164333343506"
"2007","Apr","28.1980628967285"
"2007","May","26.7634296417236"
"2007","Jun","26.3827629089355"
"2007","Jul","25.5173816680908"
"2007","Aug","24.4299983978271"
"2007","Sep","24.1615695953369"
"2007","Oct","24.5845718383789"
"2007","Nov","25.7291679382324"
"2007","Dec","26.9360065460205"
"2008","Jan","28.0106010437012"
"2008","Feb","28.819221496582"
"2008","Mar","28.8315734863281"
"2008","Apr","27.5096302032471"
"2008","May","26.84938621521"
"2008","Jun","25.6245174407959"
"2008","Jul","24.8823833465576"
"2008","Aug","24.6627655029297"
"2008","Sep","24.5963134765625"
"2008","Oct","24.9835720062256"
"2008","Nov","25.9965438842773"
"2008","Dec","27.5305252075195"
"2009","Jan","29.1200428009033"
"2009","Feb","28.9217967987061"
"2009","Mar","28.8090324401855"
"2009","Apr","28.3519763946533"
"2009","May","27.4738597869873"
"2009","Jun","26.2432270050049"
"2009","Jul","25.8658123016357"
"2009","Aug","25.5179767608643"
"2009","Sep","25.086727142334"
"2009","Oct","25.5028114318848"
"2009","Nov","25.9224472045898"
"2009","Dec","26.6189079284668"
"2010","Jan","28.0844230651855"
"2010","Feb","28.6283378601074"
"2010","Mar","28.9406642913818"
"2010","Apr","28.4765434265137"
"2010","May","27.7107620239258"
"2010","Jun","26.8461723327637"
"2010","Jul","26.3401927947998"
"2010","Aug","25.6587104797363"
"2010","Sep","25.3929042816162"
"2010","Oct","25.8744297027588"
"2010","Nov","26.5740089416504"
"2010","Dec","27.6900939941406"
"2011","Jan","29.0913829803467"
"2011","Feb","29.0304584503174"
"2011","Mar","28.255916595459"
"2011","Apr","28.5147018432617"
"2011","May","27.8602390289307"
"2011","Jun","26.3211059570312"
"2011","Jul","25.0366687774658"
"2011","Aug","24.3443794250488"
"2011","Sep","24.1975555419922"
"2011","Oct","24.5696697235107"
"2011","Nov","25.7824420928955"
"2011","Dec","27.3244781494141"
"2012","Jan","28.534330368042"
"2012","Feb","28.8605060577393"
"2012","Mar","29.1382789611816"
"2012","Apr","28.5266361236572"
"2012","May","27.2611885070801"
"2012","Jun","26.3917064666748"
"2012","Jul","24.985143661499"
"2012","Aug","24.9300479888916"
"2012","Sep","24.3594036102295"
"2012","Oct","25.081672668457"
"2012","Nov","25.5441417694092"
"2012","Dec","26.4598617553711"
"2013","Jan","27.6302261352539"
"2013","Feb","28.5424861907959"
"2013","Mar","29.2317390441895"
"2013","Apr","28.0962181091309"
"2013","May","27.4212856292725"
"2013","Jun","26.6388912200928"
"2013","Jul","25.1982879638672"
"2013","Aug","24.7111511230469"
"2013","Sep","24.4811038970947"
"2013","Oct","25.2038593292236"
"2013","Nov","26.0806007385254"
"2013","Dec","27.2769546508789"
"2014","Jan","27.5281562805176"
"2014","Feb","28.6005954742432"
"2014","Mar","28.147554397583"
"2014","Apr","27.97216796875"
"2014","May","27.6867599487305"
"2014","Jun","26.7011966705322"
"2014","Jul","25.7094745635986"
"2014","Aug","24.6540546417236"
"2014","Sep","24.4662189483643"
"2014","Oct","24.7246627807617"
"2014","Nov","25.4349327087402"
"2014","Dec","26.7663860321045"
"2015","Jan","28.4737319946289"
"2015","Feb","28.974006652832"
"2015","Mar","28.9721527099609"
"2015","Apr","28.9763107299805"
"2015","May","27.8014278411865"
"2015","Jun","26.6579246520996"
"2015","Jul","25.8737163543701"
"2015","Aug","25.242208480835"
"2015","Sep","24.8316135406494"
"2015","Oct","25.3710498809814"
"2015","Nov","25.3230400085449"
"2015","Dec","26.6747150421143"
