"year","month","tmean"
1981,"Jan",-11.7
1981,"Feb",-7.8
1981,"Mar",-2.4
1981,"Apr",5.3
1981,"May",10.3
1981,"Jun",16.2
1981,"Jul",18.4
1981,"Aug",18.3
1981,"Sep",11.9
1981,"Oct",4.7
1981,"Nov",1.4
1981,"Dec",-8.4
1982,"Jan",-17.3
1982,"Feb",-11.9
1982,"Mar",-5.1
1982,"Apr",1.1
1982,"May",14.1
1982,"Jun",12.7
1982,"Jul",19.3
1982,"Aug",16.2
1982,"Sep",12
1982,"Oct",7.6
1982,"Nov",-1.8
1982,"Dec",-5.5
1983,"Jan",-9.1
1983,"Feb",-5
1983,"Mar",-2.5
1983,"Apr",2
1983,"May",8.1
1983,"Jun",16.3
1983,"Jul",21.1
1983,"Aug",19.9
1983,"Sep",13.9
1983,"Oct",6.8
1983,"Nov",-0.3
1983,"Dec",-14.8
1984,"Jan",-13.3
1984,"Feb",-4.4
1984,"Mar",-7.4
1984,"Apr",6
1984,"May",9.5
1984,"Jun",17.3
1984,"Jul",18
1984,"Aug",19.1
1984,"Sep",11.4
1984,"Oct",8.5
1984,"Nov",-1.3
1984,"Dec",-8.6
1985,"Jan",-13
1985,"Feb",-11.8
1985,"Mar",-1.2
1985,"Apr",5.9
1985,"May",13.1
1985,"Jun",14.4
1985,"Jul",17.7
1985,"Aug",16.1
1985,"Sep",12.5
1985,"Oct",6.5
1985,"Nov",-4.4
1985,"Dec",-14.7
1986,"Jan",-11.1
1986,"Feb",-10.9
1986,"Mar",-3.1
1986,"Apr",7
1986,"May",13.3
1986,"Jun",15.5
1986,"Jul",19.2
1986,"Aug",15.5
1986,"Sep",12.6
1986,"Oct",6.2
1986,"Nov",-3.9
1986,"Dec",-7
1987,"Jan",-8.5
1987,"Feb",-5.2
1987,"Mar",-0.4
1987,"Apr",7.3
1987,"May",12.7
1987,"Jun",18
1987,"Jul",19.7
1987,"Aug",17.3
1987,"Sep",13.6
1987,"Oct",3.4
1987,"Nov",0.6
1987,"Dec",-5.1
1988,"Jan",-13.5
1988,"Feb",-13.4
1988,"Mar",-4.2
1988,"Apr",4.8
1988,"May",14
1988,"Jun",18.2
1988,"Jul",20.4
1988,"Aug",19.2
1988,"Sep",12.9
1988,"Oct",3.5
1988,"Nov",-0.5
1988,"Dec",-9.3
1989,"Jan",-8.6
1989,"Feb",-14.9
1989,"Mar",-6.7
1989,"Apr",2.7
1989,"May",10.9
1989,"Jun",14.9
1989,"Jul",19.5
1989,"Aug",17.7
1989,"Sep",12.8
1989,"Oct",7.3
1989,"Nov",-4.3
1989,"Dec",-15.4
1990,"Jan",-6.8
1990,"Feb",-9.7
1990,"Mar",-2.1
1990,"Apr",5.7
1990,"May",9.5
1990,"Jun",16.1
1990,"Jul",17.8
1990,"Aug",17.3
1990,"Sep",13.3
1990,"Oct",5.6
1990,"Nov",0.9
1990,"Dec",-9.2
1991,"Jan",-13.7
1991,"Feb",-8.2
1991,"Mar",-3.2
1991,"Apr",6
1991,"May",13.9
1991,"Jun",18.6
1991,"Jul",18
1991,"Aug",18.5
1991,"Sep",11.2
1991,"Oct",4.9
1991,"Nov",-4.9
1991,"Dec",-8.8
1992,"Jan",-9
1992,"Feb",-7.1
1992,"Mar",-4.5
1992,"Apr",2.3
1992,"May",12
1992,"Jun",14.4
1992,"Jul",15.1
1992,"Aug",15.4
1992,"Sep",11.9
1992,"Oct",5.6
1992,"Nov",-2.7
1992,"Dec",-7.9
1993,"Jan",-11.5
1993,"Feb",-10.7
1993,"Mar",-3.8
1993,"Apr",1.7
1993,"May",10.6
1993,"Jun",14.6
1993,"Jul",18.3
1993,"Aug",18.2
1993,"Sep",9.7
1993,"Oct",4.4
1993,"Nov",-3.5
1993,"Dec",-7.7
1994,"Jan",-18.1
1994,"Feb",-13.2
1994,"Mar",-3.1
1994,"Apr",3.3
1994,"May",11.3
1994,"Jun",17.2
1994,"Jul",17.4
1994,"Aug",15.9
1994,"Sep",14.1
1994,"Oct",7.8
1994,"Nov",0.3
1994,"Dec",-5.7
1995,"Jan",-10.3
1995,"Feb",-11
1995,"Mar",-2.7
1995,"Apr",0.3
1995,"May",10
1995,"Jun",18.9
1995,"Jul",18.6
1995,"Aug",19.9
1995,"Sep",11.8
1995,"Oct",6.7
1995,"Nov",-6.9
1995,"Dec",-10.9
1996,"Jan",-14.9
1996,"Feb",-12.3
1996,"Mar",-8.6
1996,"Apr",0.3
1996,"May",9.3
1996,"Jun",16.7
1996,"Jul",16.6
1996,"Aug",17.8
1996,"Sep",13
1996,"Oct",6.4
1996,"Nov",-4.6
1996,"Dec",-8.8
1997,"Jan",-12.9
1997,"Feb",-8.8
1997,"Mar",-5.5
1997,"Apr",2.4
1997,"May",7.4
1997,"Jun",17.7
1997,"Jul",18
1997,"Aug",15.7
1997,"Sep",13.4
1997,"Oct",6.7
1997,"Nov",-3.4
1997,"Dec",-4.8
1998,"Jan",-8.5
1998,"Feb",-2
1998,"Mar",-3.2
1998,"Apr",6.6
1998,"May",14.9
1998,"Jun",15.8
1998,"Jul",18.7
1998,"Aug",19
1998,"Sep",15.4
1998,"Oct",7.9
1998,"Nov",0.7
1998,"Dec",-6.2
1999,"Jan",-13.4
1999,"Feb",-6.4
1999,"Mar",-3.2
1999,"Apr",6
1999,"May",13.2
1999,"Jun",17.2
1999,"Jul",20.4
1999,"Aug",17.1
