"year","month","tmean"
1989,"Jan",-6.6
1989,"Feb",-7.7
1989,"Mar",-0.8
1989,"Apr",1.7
1989,"May",5.8
1989,"Jun",8.6
1989,"Jul",14.7
1989,"Aug",12.1
1989,"Sep",8.9
1989,"Oct",3.6
1989,"Nov",-2
1989,"Dec",-7.7
1990,"Jan",-6.8
1990,"Feb",-6.4
1990,"Mar",-2.3
1990,"Apr",1.4
1990,"May",3.9
1990,"Jun",11.5
1990,"Jul",12.1
1990,"Aug",11.7
1990,"Sep",10.1
1990,"Oct",3.5
1990,"Nov",-1.2
1990,"Dec",-8.3
1991,"Jan",-7.9
1991,"Feb",-3.7
1991,"Mar",-4
1991,"Apr",0
1991,"May",5.3
1991,"Jun",10.1
1991,"Jul",12.3
1991,"Aug",12.3
1991,"Sep",8.3
1991,"Oct",4.1
1991,"Nov",-4.7
1991,"Dec",-6
1992,"Jan",-6
1992,"Feb",-4.6
1992,"Mar",-1.5
1992,"Apr",3
1992,"May",6.3
1992,"Jun",8.6
1992,"Jul",11.7
1992,"Aug",11.3
1992,"Sep",9.2
1992,"Oct",5.3
1992,"Nov",-6.1
1992,"Dec",-7.3
1993,"Jan",-6.2
1993,"Feb",-6.8
1993,"Mar",-2.3
1993,"Apr",-0.4
1993,"May",5.1
1993,"Jun",8.7
1993,"Jul",11.8
1993,"Aug",11.4
1993,"Sep",7.2
1993,"Oct",2.1
1993,"Nov",-5.3
1993,"Dec",-6.6
1994,"Jan",-6.4
1994,"Feb",-7
1994,"Mar",-1.9
1994,"Apr",0.4
1994,"May",6.8
1994,"Jun",12.2
1994,"Jul",13.1
1994,"Aug",13.5
1994,"Sep",9.1
1994,"Oct",2.6
1994,"Nov",-3.7
1994,"Dec",-3.9
1995,"Jan",-6.6
1995,"Feb",-2.9
1995,"Mar",-2.6
1995,"Apr",-1.2
1995,"May",2.5
1995,"Jun",8.1
1995,"Jul",12.1
1995,"Aug",14.2
1995,"Sep",8.3
1995,"Oct",3
1995,"Nov",-1.5
1995,"Dec",-5.5
1996,"Jan",-7.7
1996,"Feb",-4.8
1996,"Mar",-3.6
1996,"Apr",0.5
1996,"May",6.3
1996,"Jun",10.7
1996,"Jul",13.9
1996,"Aug",12.8
1996,"Sep",7.3
1996,"Oct",3.1
1996,"Nov",-1.8
1996,"Dec",-7.5
1997,"Jan",-7
1997,"Feb",-6.9
1997,"Mar",-1.3
1997,"Apr",-2.4
1997,"May",5
1997,"Jun",9.9
1997,"Jul",13.5
1997,"Aug",12.6
1997,"Sep",10.1
1997,"Oct",3.6
1997,"Nov",-4.7
1997,"Dec",-7.1
1998,"Jan",-5.5
1998,"Feb",-6.2
1998,"Mar",-3.3
1998,"Apr",-1.2
1998,"May",6.2
1998,"Jun",8.4
1998,"Jul",14.1
1998,"Aug",12.8
1998,"Sep",11
1998,"Oct",3.3
1998,"Nov",-1.2
1998,"Dec",-6
1999,"Jan",-5.7
1999,"Feb",-4.5
1999,"Mar",-0.7
1999,"Apr",-1.6
1999,"May",3.8
1999,"Jun",9.2
1999,"Jul",14.4
1999,"Aug",12.3
1999,"Sep",7.2
1999,"Oct",4.7
1999,"Nov",2
1999,"Dec",-5.7
2000,"Jan",-5.5
2000,"Feb",-3.1
2000,"Mar",-2.4
2000,"Apr",2.6
2000,"May",6.8
2000,"Jun",10.7
2000,"Jul",15.1
2000,"Aug",14.7
2000,"Sep",9.4
2000,"Oct",4
2000,"Nov",-6.6
2000,"Dec",-6.5
2001,"Jan",-6.4
2001,"Feb",-5.1
2001,"Mar",-2.7
2001,"Apr",2
2001,"May",6
2001,"Jun",11.6
2001,"Jul",15.1
2001,"Aug",13.2
2001,"Sep",10.1
2001,"Oct",4.3
2001,"Nov",-0.2
2001,"Dec",-6.1
2002,"Jan",-6.9
2002,"Feb",-7
2002,"Mar",-5.1
2002,"Apr",3.2
2002,"May",5.1
2002,"Jun",12.7
2002,"Jul",15.6
2002,"Aug",12.8
2002,"Sep",9.7
2002,"Oct",1.8
2002,"Nov",-2.9
2002,"Dec",-5.7
2003,"Jan",-2.5
2003,"Feb",-7.3
2003,"Mar",-2.7
2003,"Apr",2
2003,"May",5.7
2003,"Jun",8.9
2003,"Jul",16.3
2003,"Aug",14.2
2003,"Sep",8
2003,"Oct",6.6
2003,"Nov",-3.5
2003,"Dec",-3.9
2004,"Jan",-5.5
2004,"Feb",-7.1
2004,"Mar",0.3
2004,"Apr",1.1
2004,"May",6.3
2004,"Jun",9
2004,"Jul",12.3
2004,"Aug",11
2004,"Sep",8.7
2004,"Oct",3.7
2004,"Nov",-2.4
2004,"Dec",-4.5
2005,"Jan",-3
2005,"Feb",-4.7
2005,"Mar",-3.3
2005,"Apr",1.8
2005,"May",5.3
2005,"Jun",9.9
2005,"Jul",14.9
2005,"Aug",12.4
2005,"Sep",10.1
2005,"Oct",4.9
2005,"Nov",-0.9
2005,"Dec",-6.8
2006,"Jan",-5
2006,"Feb",-6.1
2006,"Mar",-2.7
2006,"Apr",3
2006,"May",7
2006,"Jun",12.3
2006,"Jul",14.3
2006,"Aug",12.6
2006,"Sep",6.8
2006,"Oct",2.9
2006,"Nov",-1.1
2006,"Dec",-5.1
2007,"Jan",-7.3
