"year","month","tmean"
"2001","Jan","10.1518411636353"
"2001","Feb","5.84313297271729"
"2001","Mar","5.03331613540649"
"2001","Apr","6.46622133255005"
"2001","May","10.9274759292603"
"2001","Jun","15.363823890686"
"2001","Jul","20.1099529266357"
"2001","Aug","25.4055728912354"
"2001","Sep","27.3797245025635"
"2001","Oct","25.3597164154053"
"2001","Nov","20.618616104126"
"2001","Dec","14.3969058990479"
"2002","Jan","9.65138244628906"
"2002","Feb","4.37506914138794"
"2002","Mar","3.08581638336182"
"2002","Apr","4.86870908737183"
"2002","May","8.96466541290283"
"2002","Jun","14.4664487838745"
"2002","Jul","19.926477432251"
"2002","Aug","23.5152072906494"
"2002","Sep","26.7027225494385"
"2002","Oct","24.3390007019043"
"2002","Nov","20.205436706543"
"2002","Dec","15.2099056243896"
"2003","Jan","9.31142807006836"
"2003","Feb","5.58543825149536"
"2003","Mar","3.78512287139893"
"2003","Apr","5.82331800460815"
"2003","May","10.1276187896729"
"2003","Jun","16.2500476837158"
"2003","Jul","21.0806713104248"
"2003","Aug","25.3954792022705"
"2003","Sep","26.9141902923584"
"2003","Oct","24.5061893463135"
"2003","Nov","20.5188007354736"
"2003","Dec","16.5323829650879"
"2004","Jan","11.3346071243286"
"2004","Feb","5.58368730545044"
"2004","Mar","3.08020448684692"
"2004","Apr","4.40230369567871"
"2004","May","8.4724292755127"
"2004","Jun","14.443962097168"
"2004","Jul","21.9268112182617"
"2004","Aug","25.2624893188477"
"2004","Sep","26.7257595062256"
"2004","Oct","24.093147277832"
"2004","Nov","20.2392158508301"
"2004","Dec","15.728666305542"
"2005","Jan","8.96529865264893"
"2005","Feb","4.47437763214111"
"2005","Mar","3.20750021934509"
"2005","Apr","4.52705097198486"
"2005","May","9.24076271057129"
"2005","Jun","14.6105985641479"
"2005","Jul","20.8632392883301"
"2005","Aug","24.5197200775146"
"2005","Sep","27.5524425506592"
"2005","Oct","24.5399551391602"
"2005","Nov","22.1850719451904"
"2005","Dec","16.7538585662842"
"2006","Jan","10.1691236495972"
"2006","Feb","4.32391691207886"
"2006","Mar","3.31321406364441"
"2006","Apr","4.83244228363037"
"2006","May","9.32471466064453"
"2006","Jun","15.7931318283081"
"2006","Jul","20.7522888183594"
"2006","Aug","24.9360370635986"
"2006","Sep","27.9387054443359"
"2006","Oct","25.7166194915771"
"2006","Nov","21.2032718658447"
"2006","Dec","15.7473812103271"
"2007","Jan","10.5735473632812"
"2007","Feb","5.14161157608032"
"2007","Mar","1.99876868724823"
"2007","Apr","4.34622097015381"
"2007","May","9.63371562957764"
"2007","Jun","15.1646537780762"
"2007","Jul","20.5120487213135"
"2007","Aug","24.842716217041"
"2007","Sep","27.032808303833"
