dataset_file_name,dataset_google_id,start_year,end_year,n_years_observed,study_duration,organism_count_type,variability_type,standardization_method,metric,metric_value,messages
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,divpart_time_series,q_order_0,alpha_div_mean,5.987755102040817,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,divpart_time_series,q_order_0,alpha_div_cv,0.18233077439251877,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,divpart_time_series,q_order_0,beta_div_mean,4.138779052465531,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,divpart_time_series,q_order_0,beta_div_cv,0.09193397867355044,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,divpart_time_series,q_order_0,gamma_div_mean,24.742857142857144,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,divpart_time_series,q_order_0,gamma_div_cv,0.1929183183189099,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,agg,NA,gamma_var,0.20914972978606303,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,agg,NA,alpha_var,0.39002038086961366,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,agg,NA,phi_var,0.5362533345558245,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,agg,NA,gamma_var_rate,0.0061514626407665595,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,agg,NA,alpha_var_rate,0.011471187672635696,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,com,h,gamma_var,0.17405539677392556,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,com,h,alpha_var,0.31499410174056586,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,com,h,phi_var,0.5525671617726999,NA
L3-hays-compagnoni.csv,1I3G4PWuQWovgUk1_GQ43Y6snqL72pnBx,38,72,35,34,COUNT,com,h,gamma_var_rate,0.005119276375703693,NA
