"","data_directory","LTER_site","organism","body.size","dispersal.type","trophic.group","biome","contact","google_id","long.csv.format.","priority","data.acquired","data_checked","issues","pass_data_check","i_data_record.data_directory","i_data_record.LTER_site","i_data_record.organism","beta_type","gamma_temporal_bd","mean_alpha_temporal_bd","phi_bd","n_locations","n_times"
"1","SBC-fish-Castorani_Lamy","SBC","fish","macro","mobile_active","predators","marine","Lamy or Castorani","0BxUZSA1Gn1HZZU1vYWJWY0lMc0k","Y","1",NA,NA,"Unbalanced observations over space-time: 2 sites added after the first 3 years",NA,"SBC-fish-Castorani_Lamy","SBC","fish","turnover_rate",0.468968574528723,0.707289620350996,0.663050271112412,11,16
"2","SBC-fish-Castorani_Lamy","SBC","fish","macro","mobile_active","predators","marine","Lamy or Castorani","0BxUZSA1Gn1HZZU1vYWJWY0lMc0k","Y","1",NA,NA,"Unbalanced observations over space-time: 2 sites added after the first 3 years",NA,"SBC-fish-Castorani_Lamy","SBC","fish","turnover_rate_repl",0.206753017504387,0.267105160877484,0.774051002328706,11,16
"3","SBC-fish-Castorani_Lamy","SBC","fish","macro","mobile_active","predators","marine","Lamy or Castorani","0BxUZSA1Gn1HZZU1vYWJWY0lMc0k","Y","1",NA,NA,"Unbalanced observations over space-time: 2 sites added after the first 3 years",NA,"SBC-fish-Castorani_Lamy","SBC","fish","turnover_rate_rich",0.262215557024336,0.440184459473511,0.595694717023773,11,16
"4","SBC-fish-Castorani_Lamy","SBC","fish","macro","mobile_active","predators","marine","Lamy or Castorani","0BxUZSA1Gn1HZZU1vYWJWY0lMc0k","Y","1",NA,NA,"Unbalanced observations over space-time: 2 sites added after the first 3 years",NA,"SBC-fish-Castorani_Lamy","SBC","fish","total",0.264034893831394,0.3746501330452,0.704750567376788,11,16
"5","SBC-fish-Castorani_Lamy","SBC","fish","macro","mobile_active","predators","marine","Lamy or Castorani","0BxUZSA1Gn1HZZU1vYWJWY0lMc0k","Y","1",NA,NA,"Unbalanced observations over space-time: 2 sites added after the first 3 years",NA,"SBC-fish-Castorani_Lamy","SBC","fish","total_repl",0.102645228361788,0.142513084579642,0.72025125738139,11,16
"6","SBC-fish-Castorani_Lamy","SBC","fish","macro","mobile_active","predators","marine","Lamy or Castorani","0BxUZSA1Gn1HZZU1vYWJWY0lMc0k","Y","1",NA,NA,"Unbalanced observations over space-time: 2 sites added after the first 3 years",NA,"SBC-fish-Castorani_Lamy","SBC","fish","total_rich",0.161389665469606,0.232137048465557,0.695234416636221,11,16
"7","NWT-plants-Hallett-and-Sokol","NWT","plants","macro","sessile_passive","primary producers","terrestrial","Hallett or Sokol","0B2P104M94skvQVprSnBsYjRzVms","Y","1",NA,NA,NA,NA,"NWT-plants-Hallett-and-Sokol","NWT","plants","turnover_rate",0.0884308281191531,0.179949697447677,0.491419709915687,88,11
"8","NWT-plants-Hallett-and-Sokol","NWT","plants","macro","sessile_passive","primary producers","terrestrial","Hallett or Sokol","0B2P104M94skvQVprSnBsYjRzVms","Y","1",NA,NA,NA,NA,"NWT-plants-Hallett-and-Sokol","NWT","plants","turnover_rate_repl",0.0387884590742517,0.103858664432612,0.373473501572123,88,11
"9","NWT-plants-Hallett-and-Sokol","NWT","plants","macro","sessile_passive","primary producers","terrestrial","Hallett or Sokol","0B2P104M94skvQVprSnBsYjRzVms","Y","1",NA,NA,NA,NA,"NWT-plants-Hallett-and-Sokol","NWT","plants","turnover_rate_rich",0.0496423690449014,0.0760910330150654,0.652407610698,88,11
"10","NWT-plants-Hallett-and-Sokol","NWT","plants","macro","sessile_passive","primary producers","terrestrial","Hallett or Sokol","0B2P104M94skvQVprSnBsYjRzVms","Y","1",NA,NA,NA,NA,"NWT-plants-Hallett-and-Sokol","NWT","plants","total",0.066261031422905,0.120779345450325,0.548612274523026,88,11
