"timestep","alpha_q1","beta_q1","gamma_q1","alpha_q2","beta_q2","gamma_q2"
1,1.55258611519268,1.46831467602034,2.27968497872283,1.37899563095825,1.38168887357979,1.90534292001016
2,1.3489158345157,2.20644882914543,2.97631376368289,1.22568008346886,2.40862382864241,2.95220225533551
3,1.18164155147248,2.50650812337706,2.96179414768565,1.11088768346782,2.63395026102714,2.9260229038419
4,1.13669231759264,2.58233650791605,2.93532206998717,1.07395375884036,2.68232257425229,2.88069041104061
5,1.10326798169187,2.64154332575217,2.91433017355423,1.04881081319798,2.71335837032487,2.84579959887798
6,1.08215291679045,2.68170872418901,2.90201891786353,1.03474100661577,2.73088576467457,2.82575948509205
7,1.06888346611966,2.70857632461755,2.89515245010686,1.02706205794922,2.74054255561449,2.81470727706684
8,1.06091100857659,2.72526299754034,2.89126151535697,1.0228036650183,2.74587101231518,2.80848693506348
9,1.05857084037067,2.7301173972191,2.8900226674848,1.02154162176617,2.74733117933027,2.80651314846181
10,1.05716999397207,2.73306488326726,2.88931418616892,1.02080883636886,2.74819911001527,2.80538593560463
