dataset_id,l3_filename,google_id,L0_data_directory,LTER site,contact,responsible person,L3 status,provided identifier,doi,date accessed,date published,source_url_or_contact,body size,dispersal habit,mobility,trophic group,biome,organism_group,initial.year,study.length,n.years,n.plots,n.taxa,organism
gce-mollusc-compagnoni,L3-gce-mollusc-compagnoni.csv,1Cy3RdJzAPIfW5euTGUIiHEaCJC8cCQTx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sev-plants-compagnoni,L3-sev-plants-compagnoni.csv,19QVLG4hvOy0kH3e4qzk4CxZc4eWRm1oy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sev-arthropods-compagnoni,L3-sev-arthropods-compagnoni.csv,1eXE5otabcA87KWGgeid92h7sKy8jKdqN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sev-grasshopper-compagnoni,L3-sev-grasshopper-compagnoni.csv,1fvq48jYfqsaCu7I41qaottXkcmdSCQvn,SEV-grasshopper-compagnoni,SEV,NA,Aldo,complete,knb-lter-sev.106.214968,http://dx.doi.org/10.6073/pasta/c1d40e9d0ec610bb74d02741e9d22576,NA,NA,NA,meso,active,mobile,consumers,terrestrial,invertebrates,1992,22,22,10,54,grasshopper
knz-fish-compagnoni,L3-knz-fish-compagnoni.csv,1HNv4FKhRyfLvxk9ceWDFmSHjzkQITIpP,KNZ-fish-Gido,KNZ,Gido/Swan,Aldo,REJECTED,knb-lter-knz.87.6,http://dx.doi.org/10.6073/pasta/e1ac8845d032315df70819ece0d37c42,12/7/2018,NA,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-knz.87.6,macro,active,mobile,consumers,terrestrial,fish,NA,NA,NA,NA,NA,NA
sbc-fish-castorani,L3-sbc-fish-castorani.csv,0BxUZSA1Gn1HZeEtNSEtJRDQxa2M,SBC-survey-fish-Castorani_Lamy,SBC,Lamy / Castorani,Max,complete,knb-lter-sbc.50.7,https://doi.org/10.6073/pasta/d5fd133eb2fd5bea885577caaf433b30.,11/30/2018,06/26/2018,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-sbc.50.6,macro,active,mobile,consumers,marine,fish,2001,18,18,9,64,fish
sbc-mobileInverts-castorani,L3-sbc-mobileInverts-castorani.csv,0BxUZSA1Gn1HZWVZsdFdrRmhpTm8,SBC-survey-mobile_invert-Castorani_Lamy,SBC,Lamy / Castorani,Max,complete,knb-lter-sbc.50.7,https://doi.org/10.6073/pasta/d5fd133eb2fd5bea885577caaf433b30.,11/30/2018,06/26/2018,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-sbc.50.6,meso,active,mobile,consumers,marine,invertebrates,2001,18,18,9,34,mobileInverts
sbc-sessileInverts-castorani,L3-sbc-sessileInverts-castorani.csv,0BxUZSA1Gn1HZYVp0MXBod2oxczQ,SBC-survey-sessile_invert-Castorani_Lamy,SBC,Lamy / Castorani,Max,complete,knb-lter-sbc.50.7,https://doi.org/10.6073/pasta/d5fd133eb2fd5bea885577caaf433b30.,11/30/2018,06/26/2018,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-sbc.50.6,meso,passive,sessile,consumers,marine,sessile invertebrates,2001,18,18,9,71,sessileInverts
sbc-algae-castorani,L3-sbc-algae-castorani.csv,0BxUZSA1Gn1HZZWl6d3BMeVNlT0U,SBC-survey-algae-Castorani_Lamy,SBC,Lamy / Castorani,Max,complete,knb-lter-sbc.50.7,https://doi.org/10.6073/pasta/d5fd133eb2fd5bea885577caaf433b30.,11/30/2018,06/26/2018,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-sbc.50.6,macro,passive,sessile,primary producers,marine,macroalgae,2001,18,18,9,59,algae
jrn-lizards-hope,L3-jrn-lizards-hope.csv,0B7o8j0RLpcxiYW10X1djMTBGM0U,JRN-lizard-Hope,JRN,Hope,Nina,complete,knb-lter-jrn.210007001.36,http://dx.doi.org/10.6073/pasta/ff37b4cace16a9943575f3fd7067064e,6/7/2017,NA,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-jrn.2100007001.13,macro,active,mobile,consumers,terrestrial,herps,1990,16,16,9,18,lizards
