"","site","within_siteName","","","","","","","",""
"1","ARC","Arctic","218.359248894028","217.834585444191","0.565320108466781","0.524664967999996","24019.5173783431","23961.804398861","62.1852119313459","57.7131464799996"
"2","MCR","Moorea Coral Reef","132.453178258","132.290121393708","0.197051799928803","0.163056987999994","14569.84960838","14551.9133533079","21.6756979921683","17.9362686799993"
"3","PAL","Palmer Station","22.6741933601396","17.091781418872","18.4155444570993","16.97983","2494.16126961536","1880.09595607592","2025.70989028092","1867.7813"
"4","LUQ","Luquillo","84.2472466958133","84.055197210955","0.218649627348727","0.19204998500004","9267.19713653947","9246.07169320505","24.05145900836","21.1254983500044"
"5","MCM","McMurdo Dry Valleys","237.340348017473","242.39726035699","5.11261250940636","5.05803711299995","26107.4382819221","26663.6986392689","562.3873760347","556.384082429995"
"6","PIE","Plum Island Ecosystem","114.047049294732","113.585684917324","0.566112439874593","0.461368167999979","12545.1754224205","12494.4253409056","62.2723683862053","50.7504984799976"
"7","SGS","Shortgrass Steppe","145.661102565186","145.546746950455","0.143565599214946","0.114355649999993","16022.7212821705","16010.1421645501","15.792215913644","12.5791214999992"
"8","NWT","Niwot Ridge","145.691528706019","145.607946940781","0.0990848477446162","0.0835817789999851","16026.0681576621","16016.8741634859","10.8993332519078","9.19399568999836"
"9","NTL","Northern Lakes","136.607174042947","135.207248326412","1.52315462117277","1.39999999999998","15026.7891447242","14872.7973159053","167.547008329005","153.999999999997"
"10","KNZ","Konza","135.751055503301","135.674361950547","0.104001345840875","0.0766935649999709","14932.6161053631","14924.1798145602","11.4401480424963","8.4362921499968"
"11","HBR","Hubbard Brook","115.766555251923","115.648178554874","0.127072786978742","0.118376759","12734.3210777116","12721.2996410362","13.9780065676617","13.02144349"
"12","HFR","Harvard Forest","114.906142396576","114.834738507371","0.238129632190932","0.0714039030000322","12639.6756636233","12631.8212358108","26.1942595410025","7.85442933000354"
"13","GCE","Georgia Coastal Ecosystems","113.152627245449","112.71816065353","0.587071208374841","0.434469807000028","12446.7889969994","12398.9976718883","64.5778329212325","47.791678770003"
"14","FCE","Florida Coastal Everglades","107.415667606778","106.138255944861","1.64730701783051","1.27750310100004","11815.7234367456","11675.2081539347","181.203771961356","140.525341110004"
"15","CWT","Coweeta","118.552283310297","118.495490679817","0.0733869152829264","0.0567926370000009","13040.7511641327","13034.5039747798","8.0725606811219","6.2471900700001"
"16","CCE","California Current Ecosystem","159.564056729578","152.561135614546","8.75201119743342","7.00999999999999","17552.0462402536","16781.7249176001","962.721231717676","771.099999999999"
"17","CAP","Central Arizona-Phoenix","146.635089050376","145.421231399433","1.37337749891338","1.213899594","16129.8597955414","15996.3354539377","151.071524880472","133.52895534"
"18","BNZ","Bonanza Creek","213.125037029898","212.891346079537","0.249920943054275","0.233691090999997","23443.7540732888","23418.048068749","27.4913037359703","25.7060200099997"
"19","AND","Andrews","166.542856638217","166.383119122762","0.179747683061983","0.159737589000031","18319.7142302038","18302.1431035038","19.7722451368181","17.5711347900034"
"20","VCR","Virginia Coast Reserve","113.999980820619","113.242370608932","1.1425743955771","0.757627055","12539.9978902681","12456.6607669826","125.683183513481","83.33897605"
"21","KBS","Kellogg Biological Station","127.824282745458","127.787537716977","0.0466832387386435","0.0367450299999632","14060.6711020004","14056.6291488675","5.13515626125078","4.04195329999595"
"22","CDR","Cedar Creek","138.672293754886","138.601017076306","0.0920442014827338","0.0712766880000117","15253.9523130375","15246.1118783937","10.1248621631007","7.84043568000129"
"23","SEV","Sevilleta","141.512272046258","140.936414503334","0.622605619136432","0.575862330442561","15566.3499250884","15503.0055953668","68.4866181050075","63.3448563486817"
"24","BNZ","Cariboe-Poker Creek Research Watershed","212.917578633584","212.58721434232","0.349182241591248","0.330364689556433","23420.9336496942","23384.5935776552","38.4100465750373","36.3401158512076"
"25","NTL","Yahara Area","133.303750885764","132.303779236364","1.16619037881002","0.999999999953445","14663.4125974341","14553.4157160001","128.280941669102","109.999999994879"
"26","BES","Gwynns Falls Watershed","116.318071497391","116.103505105858","0.311621546567636","0.214566757266724","12794.987864713","12771.3855616444","34.2783701224399","23.6023432993396"
"27","JRN","Chihuahuan Desert Nature Park","139.258443508539","139.224089913757","0.0406151402738452","0.0343535958273407","15318.4287859393","15314.6498905133","4.46766543012297","3.77889554100747"
"28","JRN","Chihuahuan Desert Rangeland Research Center","139.604723534343","139.372825281996","0.289817031378601","0.231898572816633","15356.5195887778","15331.0107810196","31.8798734516461","25.5088430098296"
"29","JRN","Jornada Experimenta Range","139.70140914106","139.335741986497","0.509640210781993","0.365668410505194","15367.1550055166","15326.9316185147","56.0604231860193","40.2235251555713"
"30","SBC","Santa Barbara Coastal","155.01104004554","153.761081018573","1.35810934758575","1.24999999999994","17051.2144050094","16913.718912043","149.392028234433","137.499999999994"
