ReleaseCategory,SiteNumber,SiteName,AgencyCode,SiteWebCode,State,StateFIPSCode,County,CountyFIPSCode,Latitude_dd,Longitude_dd,CoordinateDatum,Elevation_ft,VerticalDatum,HUCCode,Ecoregion_NA_L1CODE,Ecoregion_NA_L1NAME,Ecoregion_NA_L2CODE,Ecoregion_NA_L2NAME,Ecoregion_NA_L3CODE,Ecoregion_NA_L3NAME,Ecoregion_US_L3CODE,Ecoregion_US_L3NAME,Ecoregion_US_L4CODE,Ecoregion_US_L4NAME,DrainageArea_mi2,SiteType,SiteTypeName
Public,07099970,"ARKANSAS RIVER AT MOFFAT STREET AT PUEBLO, CO",USGS,Y,Colorado,08,Pueblo County,101,38.25361396,-104.6060854,NAD27,4653,NGVD29,11020002,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9.4.3,Southwestern Tablelands,26,Southwestern Tablelands,26e,Piedmont Plains and Tablelands,4720,ST,Stream
Public,07100300,"FOUNTAIN CREEK AT CASCADE, CO",USGS,Y,Colorado,08,El Paso County,041,38.89708333,-104.9717778,NAD83,7372,NAVD88,11020003,6,NORTHWESTERN FORESTED MOUNTAINS,6.2,WESTERN CORDILLERA,6.2.14,Southern Rockies,21,Southern Rockies,21c,Crystalline Mid-Elevation Forests,43.6,ST,Stream
Public,07103700,"FOUNTAIN CREEK NEAR COLORADO SPRINGS, CO.",USGS,Y,Colorado,08,El Paso County,041,38.85471357,-104.8780314,NAD27,6110,NGVD29,11020003,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9.4.3,Southwestern Tablelands,26,Southwestern Tablelands,26j,Foothill Grasslands,102,ST,Stream
Public,07103707,"FOUNTAIN CREEK BL 8TH ST., AT COLO. SPRINGS, CO.",USGS,Y,Colorado,08,El Paso County,041,38.82943667,-104.8396969,NAD27,,,11020003,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9.4.3,Southwestern Tablelands,26,Southwestern Tablelands,26j,Foothill Grasslands,119,ST,Stream
Public,07103755,"MONUMENT CREEK BELOW MONUMENT LAKE NR MONUMENT, CO",USGS,Y,Colorado,08,El Paso County,041,39.0875,-104.8791667,NAD83,6885,NGVD29,11020003,6,NORTHWESTERN FORESTED MOUNTAINS,6.2,WESTERN CORDILLERA,6.2.14,Southern Rockies,21,Southern Rockies,21d,Foothill Shrublands,30.2,ST,Stream
Public,07103780,"MONUMENT C AB N.GATE BLVD AT USAF ACADEMY, CO.",USGS,Y,Colorado,08,El Paso County,041,39.03102778,-104.8466111,NAD83,6640,NGVD29,11020003,6,NORTHWESTERN FORESTED MOUNTAINS,6.2,WESTERN CORDILLERA,6.2.14,Southern Rockies,21,Southern Rockies,21d,Foothill Shrublands,81.4,ST,Stream
Public,07103800,"WEST MONUMENT CREEK AT U.S. AIR FORCE ACADEMY, CO",USGS,Y,Colorado,08,El Paso County,041,38.97054766,-104.902758,NAD27,7180,NGVD29,11020003,6,NORTHWESTERN FORESTED MOUNTAINS,6.2,WESTERN CORDILLERA,6.2.14,Southern Rockies,21,Southern Rockies,21c,Crystalline Mid-Elevation Forests,14.8,ST,Stream
Public,07103960,"KETTLE CREEK ABOVE USAF ACADEMY, CO",USGS,Y,Colorado,08,El Paso County,041,38.97611111,-104.7986111,NAD83,6620,NGVD29,11020003,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9.4.3,Southwestern Tablelands,26,Southwestern Tablelands,26j,Foothill Grasslands,16.2,ST,Stream
Public,07103970,"MONUMENT CR ABV WOODMEN RD AT COLORADO SPRINGS, CO",USGS,Y,Colorado,08,El Paso County,041,38.9338817,-104.8171992,NAD27,6270,NGVD29,11020003,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9.4.3,Southwestern Tablelands,26,Southwestern Tablelands,26j,Foothill Grasslands,180,ST,Stream
Public,07103977,"COTTONWOOD CR AT COWPOKE RD. AT COLO SPRINGS, CO",USGS,Y,Colorado,08,El Paso County,041,38.95110464,-104.7135857,NAD27,6875,NGVD29,11020003,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9.4.3,Southwestern Tablelands,26,Southwestern Tablelands,26j,Foothill Grasslands,5.91,ST,Stream
Public,07103980,"COTTONWOOD CREEK AT WOODMEN RD NR COLO SPRINGS, CO",USGS,Y,Colorado,08,El Paso County,041,38.93943809,-104.7410863,NAD27,6680,NGVD29,11020003,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9.4.3,Southwestern Tablelands,26,Southwestern Tablelands,26j,Foothill Grasslands,10.2,ST,Stream
Public,07103985,"COTTONWOOD CR TRIB AB RANGEWOOD DR AT CO SPRGS, CO",USGS,Y,Colorado,08,El Paso County,041,38.92916041,-104.7471974,NAD27,6630,NGVD29,11020003,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9.4.3,Southwestern Tablelands,26,Southwestern Tablelands,26j,Foothill Grasslands,2.83,ST,Stream
