site,subsite,lat,lon,area_ha,notes
AND,NA,44.2325173033773,-122.172477138531,NA,
ARC,NA,68.602335241583,-149.43391398011,NA,
BES,NA,39.3563595578112,-76.7394367722557,NA,
BNZ,NA,65.181535204016,-147.504118342356,NA,
BNZ,NA,64.7398367091816,-148.254908279044,NA,
CAP,NA,33.5675568280477,-112.159944917003,NA,
CCE,NA,32.6834588325572,-121.438986955257,NA,
CDR,NA,45.4111988268454,-93.1945856811415,NA,
CWT,NA,35.0525771367264,-83.4509304004655,NA,
FCE,NA,25.3946380405002,-80.8062830735961,NA,
GCE,NA,31.4003741753517,-81.3506223457793,NA,
HBR,NA,43.9396341133597,-71.7509212425578,NA,
HFR,NA,42.5107542540033,-72.1935525797204,NA,
JRN,NA,32.6505437563199,-106.693195662637,NA,
JRN,NA,32.5298261565335,-106.874332411494,NA,
JRN,NA,32.4745221213469,-106.755319774119,NA,
KBS,NA,42.4056646012824,-85.3826435030377,NA,
KNZ,NA,39.092577663266,-96.5750647884653,NA,
LUQ,NA,18.2948996526252,-65.7895432024314,NA,
MCM,NA,-77.6306496379474,162.486703437693,NA,not used in this study
MCR,NA,-17.5243110800771,-149.836775669862,NA,marine site
NTL,NA,46.0015944691635,-89.6,NA,
NTL,NA,43.1005984166008,-89.4,NA,
NWT,NA,40.0479979650126,-105.569243774741,NA,
PAL,NA,-65.5429113836646,-67.6929842653985,NA,not used in this study
PIE,NA,42.6609181667391,-70.965911506432,NA,
SBC,NA,34.2668067576407,-119.85,NA,marine site
SEV,NA,34.3198103136161,-106.812986408147,NA,
SGS,NA,40.826791149303,-104.723981652827,NA,
VCR,NA,37.4945285044286,-75.702256880578,NA,
NTL,crystal_bog,46.008,-89.606,0.6,
NTL,trout_bog,46.041,-89.686,1,
NTL,crystal_lake,46.003,-89.612,37.5,
NTL,big_muskellunge_lake,46.021,-89.612,363.4,
NTL,sparkling_lake,46.008,-89.701,63.7,
NTL,allequash_lake,46.038,-89.621,164.2,
NTL,trout_lake,46.029,-89.665,1565.1,
NTL,fish_lake,43.287,-89.652,80.4,
NTL,lake_mendota,43.099,-89.405,3961.2,
NTL,lake_wingra,43.053,-89.425,136.2,
NTL,lake_monona,43.063,-89.361,1359.8,
AND,mt_st_helens_centroid,46.23221,122.16,,
NTL,northern_lakes_no_bogs_centroid,46.03119,-89.48587,,"crystal, big muske, sparkling, allequash, and trout"
NTL,northern_lakes_with_bogs_centroid,46.02886,-89.57467,,Same as above plus crystal and trout bogs
CSUN-USVI,yawzi,18.31506678,-64.72551007,,marine site
CSUN-USVI,tektite,18.30996508,-64.72321746,,marine site
CSUN-USVI,cabritte_horn,18.30713526,-64.72164419,,marine site
CSUN-USVI,east_tektite,18.31095579,-64.72181924,,marine site
CSUN-USVI,europa,18.31673677,-64.72998517,,marine site
CSUN-USVI,neptunes_table,18.3125466,-64.72301093,,marine site
CSUN-USVI,west_little_lamshur_bay,18.31725847,-64.72779501,,marine site
CSUN-USVI,white_point,18.31445176,-64.73130735,,marine site
