"dataset","initial.year","study.length","n.years","n.plots","n.taxa","organism"
"and-birds-wisnoski",2009,5,5,184,81,"birds"
"and-plants-mtStHelens",1989,21,21,12,85,"plants"
"cap-birds-banville",2001,16,16,35,104,"birds"
"cap-herps-banville",2013,5,5,7,18,"herps"
"fce-fish-rehageDry",2006,12,11,10,56,"fish"
"fce-fish-rehageWet",2011,6,6,14,56,"fish"
"hbr-birds-sillett",2001,13,8,64,61,"birds"
"jrn-lizards-hope",1990,16,16,9,20,"lizards"
"mcr-algae-castorani",2006,10,10,6,73,"algae"
"mcr-coral-castorani",2005,11,11,6,31,"coral"
"mcr-fish-castorani",2006,10,10,6,376,"fish"
"mcr-inverts-castorani",2005,11,11,6,13,"inverts"
"ntl-fish-stanleyLottig",1995,23,23,9,81,"fish"
"ntl-zooplankton-stanleyLottig",1982,34,34,7,143,"zooplankton"
"nwt-plants-hallett",1989,26,11,88,109,"plants"
"sbc-algae-castorani",2001,16,16,11,62,"algae"
"sbc-fish-castorani",2001,16,16,11,64,"fish"
"sbc-mobileInverts-castorani",2001,16,16,11,36,"mobileInverts"
"sbc-sessileInverts-castorani",2001,16,16,11,70,"sessileInverts"
"usvi-coral-castorani",1992,24,24,6,34,"coral"
