SITE_ID,DATE,AMZO,AU,BF,BO,BR,BRA,CAL,CC,CF,CG,CO,COF,CP,CRYP,CYOS,CZ,DL,DP,DU,EA,EC,EGME,ER,FASP,FB,FG,FR,FTHR,GR,GS,GYSP,HAGL,IR,LAFA,LI,LS,LX,NANDERSON,NEO,PHSE,PL,POLA,PRSP,PTCA,R,RAT,SAFU,SAHO,SAMU,SCCA,STIN,TALE,UV
ABUR,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05875,0,0,0,0,0,0.20625,0.799625,0,0,0,0,0,0,5.625,8.4375,0,0,0,0.14,0,0,0,0,0,0,0,0,0,74.6945,3.05,0,0,0,0,0,0,1.35,0
ABUR,2005,0,0,2.425,0,12.4,5.3375,0,2.1125,0,0,2.6625,0,0,0,0.4235,0,101.1375,0,0,0,0,1.59925,0,0,0,0,0,0,2.8125,59.0625,0,0,6.3375,0.0933333333333335,0,0,0,0,1.40625,0,0,0,0,93.4555,11.4375,0.41875,0,0,0,0,0,14.175,12.15
ABUR,2006,0,0,7.2749999999999995,0,0,1.525,0,17.956249999999997,0,0,7.9875,0,0,0,0.4235,1.05625,27.731250000000003,0,0,0,0.20625,3.1985,0,0,0,0,1,0,0,43.59375,0,0,0,0,2.6625,0,8.575,0,1.40625,0,7.39375,0,0,27.988000000000003,14.487499999999999,0.41875,2.1875,0,0,0,1.525,0,4.05
ABUR,2007,0,0,0,2.525,0,1.525,0,7.39375,0.875,0,5.325,0,0,0,0.105875,0,52.199999999999996,0,0,0,1.44375,4.79775,0.20625,0,0,0,1,0,1.40625,64.6875,0,0,8.45,0,0,0,0,0,0,0,0,0,0,150.0418125,35.074999999999996,0,0.4375,0,0,0,0,2.0250000000000004,5.4
ABUR,2008,0,0,4.85,1.2625,0,2.2875,0,1.05625,0.4375,0,2.6625,0,0,0,0.01083333333333335,14.7875,57.09375,0,0,0,0.20625,6.397,0,0,0,0,0,0,0,63.28125,0,0,0,0,0,0,0,0,0,0,2.1125,0,0,125.51912500000016,6.862500000000001,0,4.8125,0,0,0,2.2875,0,2.025
ABUR,2009,0,0,12.125,0,0,0,0,10.5625,0,0,9.31875,0,0,0,0,0,17.94375,0,0,0,0.4125,3.1985,0,0,0,0,0.5,2.1875,0,54.84375,1.525,0,0,0,0,0,2.45,0,0,0,1.05625,0,0,62.877375,20.5875,0,0,0,0,0,2.2875,0,8.1
ABUR,2010,0,0,14.55,2.525,2.325,0,0,8.45,0,0,2.6625,0,0,2.425,0,1.05625,35.8875,0,0,0,0.4125,1.59925,0,0,0,0,1,4.375,0,63.28125,0,0,0,0,0,0,0,0,0,0,5.28125,0,11.61875,44.43885416666665,6.8625,0,0,0,0,0,11.4375,1.35,0
ABUR,2011,0,0,4.85,1.2625,2.325,0,0,0,0,0,9.31875,0,0,4.85,4.862500000000001,0,1.63125,0,0,0,0.4125,2.5083958333333336,0,0,0,0,0.5,3.5,0,66.09375,0,0,4.225,0,0,0,0,0.4375,0,0,4.225,0,0,317.1689583333335,2.2874999999999996,0,0,0,0,0,27.45,0.675,0.675
ABUR,2012,0,0,0,0,0.775,0,0,12.675,0.875,0,6.65625,0,0,7.2749999999999995,4.58125,0,4.89375,0,0,0,0.61875,9.5563125,0,0,0,0,0,6.125,0,46.40625,0,0,0,0,1.33125,0,0,0,0,0,5.28125,0,0,132.0427083333335,1.525,0,3.5,0,0,0,10.675,0,4.05
ABUR,2013,0,0,0,0,0.775,0,0,2.1125,0.4375,0,0,0,0,0,2.09375,8.45,0,0,0,0,0,24.775624999999998,0,0,0,0,0,3.5,1.40625,26.71875,0.7625,0,0,0,0,0,0,0,0,0,1.05625,0,0,101.400925,1.525,0.41875,0,0,0,0,7.625,0,1.35
ABUR,2014,0,0,7.275,0,0,0,0,3.16875,0.4375,0,1.33125,0,0,0,2.256875,5.28125,127.2375,0,0,0,0.4125,0,0,0,0.20625,0,1,2.1875,0,9.84375,0,0,0,0,0,0,1.225,0,0,0.7625,0,0,0,22.947249999999997,5.3375,0,0.4375,0,0,0,0.7625,2.025,8.1
ABUR,2015,0,0,2.425,3.7874999999999996,0.775,0,0,17.95625,0.875,0,0,0,0,0,5.7625,0,125.60625,0,0,0,2.8875,7.786625,0,0,0.20625,0,0,0.4375,0,32.34375,0,0,0,0,0,1.225,0,0.875,0,0,2.1125,0,0,4.1303125,8.3875,0,2.625,0,0,0,0,0.675,4.05
ABUR,2016,0,0.875,0,2.525,0,0,0,41.19375,0.4375,0,3.99375,0,0,0,8.9,0,120.7125,4.05,0,0,2.26875,1.41575,0,0,0,0,0.5,0.4375,0,82.96875,0,0,0,0,1.33125,0,0,0,0,0,0,0,1.05625,0,0.7625,0.8375,11.375,0,0,0,11.4375,0,12.825000000000001
ABUR,2017,0,1.75,0,1.2625,0,0,0,1.05625,0.4375,0,2.6625,0,0,2.425,14.1625,6.3375,11.41875,0,0,0,0.20625,9.61798,0.20625,0,0.20625,0,0,1.3125,11.25,23.90625,0,0,0,0.11641665,0,0,1.225,2.1875,0,0,3.16875,0,0,0,3.05,0.41875,3.5,0,0,0,5.3375,7.425,3.375
AQUE,2004,0,0,0,0,1.8083333333333333,0.7625000000000001,0.42083333333333334,1.05625,0,0,0,0,0,0,1.4116666666666666,0,47.306250000000006,0,0,0,1.03125,0,0.06874999999999999,0,0,0,0.16666666666666666,0,0,0.9375,0,0,0,0,0,0,0,0,0.46875,0,0,0,0,24.480645833333334,3.05,0.41875,0,0,0,0,0,0,0
AQUE,2005,0,0,0,0.42083333333333334,1.2916666666666667,1.0166666666666666,0,4.225,0.4375,0,2.6625,0,0,0,0.7764166666666666,0,4.89375,1.125,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0.46875,0,0,0,0,0,0,0,0.14583333333333334,0.9375,0,0,0,0,22.342708333333334,3.3041666666666667,0.13958333333333334,0,0,0,0,0,0,0
AQUE,2006,0,0,0,0.42083333333333334,1.0333333333333334,0,0,4.577083333333333,0.14583333333333334,0,2.6625,0,0,0,0.335680555555555,0,29.906250000000004,0,0,0,0.8937499999999999,0.010277777777777783,0.13749999999999998,0,0,0,0.6666666666666666,0,0,2.8125,0,0,0,0,0,0,0,0.2916666666666667,1.40625,0,0.3520833333333333,0,0,25.222416666666664,6.1,0.6979166666666667,0,0,0,0,0,0,0
AQUE,2007,0,0,0.8083333333333332,0.8416666666666667,1.0333333333333334,0.5083333333333333,0,3.520833333333333,0,0,2.21875,0,0,0.8083333333333332,0.35652777777777833,0,0.5437500000000001,0,0,0,0.4125,0.7996249999999999,0,0,0,0,0.16666666666666666,0,0,1.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,30.994416666666666,4.320833333333333,0.8375,0,0,0,0,0,0,0
AQUE,2008,0,0,0.8083333333333332,0.42083333333333334,0,0.5083333333333333,0,4.577083333333333,0.5833333333333334,0,0.8875000000000001,0,0,0,0.021666666666666667,0,67.96875,0,0,0,0.89375,0,0,0,0,0,1,0.14583333333333334,0,0.9375,0,0,0,0,0,0,0,0.4375,0,0,0,1.3499999999999999,0,58.763006944444385,6.8625,0,0,0,0,0,0,0,0
AQUE,2009,0,0.14583333333333334,1.6166666666666665,0.8416666666666667,3.6166666666666667,0,0,4.929166666666667,0.2916666666666667,0,2.6625,0,0,0,1.446388888888889,0,4.35,0,0,0,0.61875,0.2665416666666667,0,0.25416666666666665,0.06874999999999999,0,0.16666666666666666,0.5833333333333334,0,5.625,0.5083333333333333,0,0,0,0,0,0,0.7291666666666666,0,0,0,2.025,0,51.65981944444438,12.2,1.5354166666666667,0,0,0,0,0.7625000000000001,0,0
AQUE,2010,0,0.875,0.8083333333333332,1.2625,0.5166666666666667,0,0,2.8166666666666664,0.5833333333333334,0,0.44375000000000003,0,0,0.8083333333333332,0.007222222222222217,0,46.21875,0,0,0,1.85625,0,0,0.7625000000000001,1.375,0.16666666666666666,0,0.14583333333333334,0,0,0,0,0,0.01555555555555555,0,0,0.4083333333333334,0,0,1.0166666666666666,0,5.4,0,38.94736111111112,5.083333333333333,4.60625,0,0,0,0.46875,0,4.95,1.7999999999999998
AQUE,2011,0,0,0.8083333333333332,0.8416666666666667,0.25833333333333336,0,0,2.8166666666666664,0,0,0.8875000000000001,0,0,0,1.4800694444444444,0,15.76875,0,0,0,3.4375,0.4719166666666667,0,0,0.48125,0,1,0.14583333333333334,0,0.9375,0,0,0,0,0,0.8166666666666668,0,0.14583333333333334,0,0,0,75.6,0,24.812819444444507,2.7958333333333334,0.41875,0,0,0,0,0,0,0.225
AQUE,2012,0,0,0.8083333333333332,1.2625,1.8083333333333333,0,0,3.16875,0,0,0.44375000000000003,0,0,0,15.364582833333333,0,115.81875000000001,0,0,0.13944445,2.54375,0.23595833333333335,0,0.5083333333333333,0.6875,0,0.3333333333333333,0.2916666666666667,0,0.9375,0,0,0,0.015555555,0,0.4083333333333334,0,0,0,0.7625,0,6.75,0.3520833333333333,36.67507366666667,6.354166666666666,1.675,0,0,0,1.40625,0,6.3,2.7
AQUE,2013,0,0.5833333333333334,0,0.8416666666666667,0,0,0,1.05625,0,0,1.33125,0,0,0,8.375,0,0,0,0,0,3.4375,0.23595833333333335,0,0,0.6875,0,0,0,0,0,0.5083333333333333,0,0,0,0,0,0,0,0,0.5083333333333333,0,0,0,34.94635483333333,0.7625,0,0,0,0,0,0,0,0
AQUE,2014,0,0.2916666666666667,1.6166666666666665,0.42083333333333334,1.0333333333333334,0,0,2.1125,0.14583333333333334,0,1.33125,0,0,0,3.5040272216666666,0,82.10625,0,0,0,4.125,0,0,0,1.58125,0,0.8333333333333334,0,0,2.34375,0,0,0,0,0,0,0,0,0,0.7625000000000001,0,0,0,32.3297175,7.370833333333334,0.41875,0,0,0,0,0,0,0.675
