SITE_ID,DATE,SP_CODE,VALUE
NAPL_1,2004,AMZO,0
NAPL_1,2004,AU,0
NAPL_1,2004,BF,9.7
NAPL_1,2004,BO,0
NAPL_1,2004,BR,3.1
NAPL_1,2004,BRA,0
NAPL_1,2004,CAL,0
NAPL_1,2004,CC,8.45
NAPL_1,2004,CF,0
NAPL_1,2004,CG,0
NAPL_1,2004,CO,0
NAPL_1,2004,COF,0
NAPL_1,2004,CP,0
NAPL_1,2004,CRYP,0
NAPL_1,2004,CYOS,0.847
NAPL_1,2004,CZ,0
NAPL_1,2004,DL,0
NAPL_1,2004,DP,1.35
NAPL_1,2004,DU,0
NAPL_1,2004,EA,0
NAPL_1,2004,EC,2.475
NAPL_1,2004,EGME,0
NAPL_1,2004,ER,0
NAPL_1,2004,FB,0
NAPL_1,2004,FG,0
NAPL_1,2004,FR,0
NAPL_1,2004,FTHR,0
NAPL_1,2004,GR,2.8125
NAPL_1,2004,GS,0
NAPL_1,2004,GYSP,0
NAPL_1,2004,HAGL,0
NAPL_1,2004,IR,0
NAPL_1,2004,LAFA,0
NAPL_1,2004,LI,0
NAPL_1,2004,LS,0
NAPL_1,2004,LX,0
NAPL_1,2004,NANDERSON,0
NAPL_1,2004,NEO,0
NAPL_1,2004,PHSE,0
NAPL_1,2004,PL,0
NAPL_1,2004,POLA,0
NAPL_1,2004,PRSP,0
NAPL_1,2004,PTCA,5.716125
NAPL_1,2004,R,7.625
NAPL_1,2004,RAT,15.9125
NAPL_1,2004,SAFU,0
NAPL_1,2004,SAHO,0
NAPL_1,2004,SAMU,0
NAPL_1,2004,SCCA,0
NAPL_1,2004,STIN,0
NAPL_1,2004,TALE,0
NAPL_1,2004,UV,0
NAPL_2,2004,AMZO,0
NAPL_2,2004,AU,0
NAPL_2,2004,BF,24.25
NAPL_2,2004,BO,0
NAPL_2,2004,BR,0
NAPL_2,2004,BRA,0
NAPL_2,2004,CAL,0
NAPL_2,2004,CC,2.1125
NAPL_2,2004,CF,0
NAPL_2,2004,CG,0
NAPL_2,2004,CO,2.6625
NAPL_2,2004,COF,0
NAPL_2,2004,CP,0
NAPL_2,2004,CRYP,0
NAPL_2,2004,CYOS,1.2705
NAPL_2,2004,CZ,0
NAPL_2,2004,DL,0
NAPL_2,2004,DP,0
NAPL_2,2004,DU,0
NAPL_2,2004,EA,0
NAPL_2,2004,EC,1.2375
NAPL_2,2004,EGME,0
NAPL_2,2004,ER,0
NAPL_2,2004,FB,0
NAPL_2,2004,FG,0
NAPL_2,2004,FR,1
NAPL_2,2004,FTHR,0
NAPL_2,2004,GR,0
NAPL_2,2004,GS,0
NAPL_2,2004,GYSP,0
NAPL_2,2004,HAGL,0
NAPL_2,2004,IR,0
NAPL_2,2004,LAFA,0
