SITE_ID,DATE,SP_CODE,VALUE
ABUR,2004,AMZO,0
ABUR,2004,AU,0
ABUR,2004,BF,0
ABUR,2004,BO,0
ABUR,2004,BR,0
ABUR,2004,BRA,0
ABUR,2004,CAL,0
ABUR,2004,CC,0
ABUR,2004,CF,0
ABUR,2004,CG,0
ABUR,2004,CO,0
ABUR,2004,COF,0
ABUR,2004,CP,0
ABUR,2004,CRYP,0
ABUR,2004,CYOS,1.05875
ABUR,2004,CZ,0
ABUR,2004,DL,0
ABUR,2004,DP,0
ABUR,2004,DU,0
ABUR,2004,EA,0
ABUR,2004,EC,0.20625
ABUR,2004,EGME,0.799625
ABUR,2004,ER,0
ABUR,2004,FASP,0
ABUR,2004,FB,0
ABUR,2004,FG,0
ABUR,2004,FR,0
ABUR,2004,FTHR,0
ABUR,2004,GR,5.625
ABUR,2004,GS,8.4375
ABUR,2004,GYSP,0
ABUR,2004,HAGL,0
ABUR,2004,IR,0
ABUR,2004,LAFA,0.14
ABUR,2004,LI,0
ABUR,2004,LS,0
ABUR,2004,LX,0
ABUR,2004,NANDERSON,0
ABUR,2004,NEO,0
ABUR,2004,PHSE,0
ABUR,2004,PL,0
ABUR,2004,POLA,0
ABUR,2004,PRSP,0
ABUR,2004,PTCA,74.6945
ABUR,2004,R,3.05
ABUR,2004,RAT,0
ABUR,2004,SAFU,0
ABUR,2004,SAHO,0
ABUR,2004,SAMU,0
ABUR,2004,SCCA,0
ABUR,2004,STIN,0
ABUR,2004,TALE,1.35
ABUR,2004,UV,0
AQUE,2004,AMZO,0
AQUE,2004,AU,0
AQUE,2004,BF,0
AQUE,2004,BO,0
AQUE,2004,BR,1.8083333333333333
AQUE,2004,BRA,0.7625000000000001
AQUE,2004,CAL,0.42083333333333334
AQUE,2004,CC,1.05625
AQUE,2004,CF,0
AQUE,2004,CG,0
AQUE,2004,CO,0
AQUE,2004,COF,0
AQUE,2004,CP,0
AQUE,2004,CRYP,0
AQUE,2004,CYOS,1.4116666666666666
AQUE,2004,CZ,0
AQUE,2004,DL,47.306250000000006
AQUE,2004,DP,0
AQUE,2004,DU,0
AQUE,2004,EA,0
AQUE,2004,EC,1.03125
AQUE,2004,EGME,0
AQUE,2004,ER,0.06874999999999999
AQUE,2004,FASP,0
AQUE,2004,FB,0
AQUE,2004,FG,0
AQUE,2004,FR,0.16666666666666666
AQUE,2004,FTHR,0
AQUE,2004,GR,0
AQUE,2004,GS,0.9375
AQUE,2004,GYSP,0
AQUE,2004,HAGL,0
AQUE,2004,IR,0
AQUE,2004,LAFA,0
AQUE,2004,LI,0
AQUE,2004,LS,0
AQUE,2004,LX,0
AQUE,2004,NANDERSON,0
AQUE,2004,NEO,0.46875
AQUE,2004,PHSE,0
AQUE,2004,PL,0
AQUE,2004,POLA,0
AQUE,2004,PRSP,0
AQUE,2004,PTCA,24.480645833333334
AQUE,2004,R,3.05
AQUE,2004,RAT,0.41875
AQUE,2004,SAFU,0
AQUE,2004,SAHO,0
AQUE,2004,SAMU,0
AQUE,2004,SCCA,0
AQUE,2004,STIN,0
AQUE,2004,TALE,0
AQUE,2004,UV,0
BULL,2004,AMZO,0
BULL,2004,AU,0
BULL,2004,BF,32.333333333333336
BULL,2004,BO,0.8416666666666667
BULL,2004,BR,2.066666666666667
BULL,2004,BRA,0.5083333333333333
BULL,2004,CAL,0
BULL,2004,CC,16.195833333333333
BULL,2004,CF,5.541666666666667
BULL,2004,CG,0
BULL,2004,CO,9.7625
BULL,2004,COF,0
BULL,2004,CP,0
BULL,2004,CRYP,0
BULL,2004,CYOS,29.297000000000022
BULL,2004,CZ,0
BULL,2004,DL,66.33749999999999
BULL,2004,DP,0
BULL,2004,DU,0
BULL,2004,EA,0
BULL,2004,EC,0.4125
BULL,2004,EGME,4.264666666666667
BULL,2004,ER,0
BULL,2004,FASP,0
BULL,2004,FB,0
BULL,2004,FG,0
BULL,2004,FR,2.3333333333333335
BULL,2004,FTHR,0
BULL,2004,GR,0
