DATE,SITE_ID,VARIABLE_NAME,SCIENTIFIC_NAME,COARSE_GROUPING,VALUE
2004,ABUR,AB,Abietinaria,SESSILE INVERT,0
2004,ABUR,AL,Astrangia haimei,SESSILE INVERT,0
2004,ABUR,AMZO,Amphiroa beauvoisii,UNDERSTORY ALGAE,0
2004,ABUR,ANSP,Anthopleura,SESSILE INVERT,0
2004,ABUR,AR,Eudistoma psammion,SESSILE INVERT,0
2004,ABUR,ARUD,Discophyton rudyi,SESSILE INVERT,0
2004,ABUR,AS,Aglaophenia,SESSILE INVERT,0
2004,ABUR,ATM,Amphipoda,SESSILE INVERT,0
2004,ABUR,AU,Acrosorium ciliolatum,UNDERSTORY ALGAE,0
2004,ABUR,BA,Megabalanus californicus,SESSILE INVERT,0
2004,ABUR,BAEL,Balanophyllia elegans,SESSILE INVERT,0
2004,ABUR,BCAL,Bugulina californica,SESSILE INVERT,0
2004,ABUR,BF,Cryptopleura ruprechtiana,UNDERSTORY ALGAE,0
2004,ABUR,BN,Bugula neritina,SESSILE INVERT,0
2004,ABUR,BO,Bossiella orbigniana,UNDERSTORY ALGAE,0
2004,ABUR,BOW,Amathia gracilis,SESSILE INVERT,0
2004,ABUR,BR,Rhodophyceae,UNDERSTORY ALGAE,0
2004,ABUR,BRA,Rhodophyceae,UNDERSTORY ALGAE,0
2004,ABUR,BRSP,Barentsia,SESSILE INVERT,0
2004,ABUR,CAL,Calliarthron cheilosporioid,UNDERSTORY ALGAE,0
2004,ABUR,CC,Chondracanthus,UNDERSTORY ALGAE,0
2004,ABUR,CESP,Cellaria,SESSILE INVERT,0
2004,ABUR,CF,Callophyllis flabellulata,UNDERSTORY ALGAE,0
2004,ABUR,CG,Cladophora graminea,UNDERSTORY ALGAE,0
2004,ABUR,CHPR,Chelyosoma productum,SESSILE INVERT,0
2004,ABUR,CILU,Timarete luxuriosa,SESSILE INVERT,0
2004,ABUR,CL,Clavelina,SESSILE INVERT,0
2004,ABUR,CO,Corallina officinalis,UNDERSTORY ALGAE,0
2004,ABUR,COF,Codium fragile,UNDERSTORY ALGAE,0
2004,ABUR,COST,Celleporina robertsoniae,SESSILE INVERT,0
2004,ABUR,CP,Colpomenia,UNDERSTORY ALGAE,0
2004,ABUR,CRGI,Crassadoma gigantea,SESSILE INVERT,0
2004,ABUR,CROC,Crisia occidentalis,SESSILE INVERT,0
2004,ABUR,CRYP,Cryptopleura,UNDERSTORY ALGAE,0
2004,ABUR,CUPI,Cucumaria piperata,SESSILE INVERT,0
2004,ABUR,CUSP,Cucumaria,SESSILE INVERT,0
2004,ABUR,CY,Corynactis californica,SESSILE INVERT,0
2004,ABUR,CYOS,Stephanocystis osmundacea,UNDERSTORY ALGAE,2.1175
2004,ABUR,CZ,Chondracanthus spinosus,UNDERSTORY ALGAE,0
2004,ABUR,DC,Diaperoforma californica,SESSILE INVERT,0.0301492125
2004,ABUR,DIOR,Diopatra ornata,SESSILE INVERT,0.832044703333333
2004,ABUR,DL,Desmarestia ligulata,UNDERSTORY ALGAE,0
2004,ABUR,DOFE,Dodecaceria fewkesi,SESSILE INVERT,0
2004,ABUR,DP,Dictyota,UNDERSTORY ALGAE,0
2004,ABUR,DU,Dictyopteris undulata,UNDERSTORY ALGAE,0
2004,ABUR,EA,Eisenia arborea,UNDERSTORY ALGAE,0
2004,ABUR,EC,Corallinales,UNDERSTORY ALGAE,0.4125
2004,ABUR,ECB,Bryozoa,SESSILE INVERT,0
2004,ABUR,EGME,Egregia menziesii,UNDERSTORY ALGAE,0
2004,ABUR,ER,Rhodophyta,UNDERSTORY ALGAE,0
2004,ABUR,ES,Demospongiae,SESSILE INVERT,0
2004,ABUR,EUCL,Euherdmania claviformis,SESSILE INVERT,0
2004,ABUR,EUPO,Eudistylia polymorpha,SESSILE INVERT,0
2004,ABUR,EUQU,Eupentacta quinquesemita,SESSILE INVERT,0
2004,ABUR,FASP,Gloiocladia,UNDERSTORY ALGAE,0
2004,ABUR,FB,Ectocarpaceae,UNDERSTORY ALGAE,0
2004,ABUR,FG,Chlorophyta,UNDERSTORY ALGAE,0
2004,ABUR,FR,Rhodophyta,UNDERSTORY ALGAE,0
2004,ABUR,FTHR,Ceramiales,UNDERSTORY ALGAE,0
2004,ABUR,GR,Gelidium robustum,UNDERSTORY ALGAE,11.25
2004,ABUR,GS,Gracilaria,UNDERSTORY ALGAE,16.875
2004,ABUR,GYSP,Gymnogongrus,UNDERSTORY ALGAE,0
2004,ABUR,HAGL,Halosaccion glandiforme,UNDERSTORY ALGAE,0
2004,ABUR,HC,Acanthancora cyanocrypta,SESSILE INVERT,0
2004,ABUR,HIP,Primavelans mexicana,SESSILE INVERT,0
2004,ABUR,HPAC,Heteropora pacifica,SESSILE INVERT,0
2004,ABUR,IR,Iridaea,UNDERSTORY ALGAE,0
2004,ABUR,LAFA,Laminaria farlowii,UNDERSTORY ALGAE,0.28
2004,ABUR,LI,Lithothrix,UNDERSTORY ALGAE,0
2004,ABUR,LINU,Lissothuria nutriens,SESSILE INVERT,0
2004,ABUR,LNUT,Leucilla nuttingi,SESSILE INVERT,0
2004,ABUR,LOCH,Leptogorgia chilensis,SESSILE INVERT,0
2004,ABUR,LS,Laurencia,UNDERSTORY ALGAE,0
2004,ABUR,LX,Osmundea spectabilis,UNDERSTORY ALGAE,0
2004,ABUR,MC,Mytilus californianus,SESSILE INVERT,0
2004,ABUR,MISE,Metridium dianthus,SESSILE INVERT,0
2004,ABUR,MT,Jellyella tuberculata,SESSILE INVERT,0
2004,ABUR,MUCA,Muricea californica,SESSILE INVERT,0
2004,ABUR,MUFR,Muricea fruticosa,SESSILE INVERT,0
2004,ABUR,NANDERSON,Nienburgia andersoniana,UNDERSTORY ALGAE,0
2004,ABUR,NEO,Agardhiella subulata,UNDERSTORY ALGAE,0
2004,ABUR,OBSP,Obelia,SESSILE INVERT,0
2004,ABUR,PA,Phragmatopoma californica,SESSILE INVERT,0
2004,ABUR,PAFI,Pachycerianthus fimbriatus,SESSILE INVERT,0
2004,ABUR,PAST,Paracyathus stearnsi,SESSILE INVERT,0
2004,ABUR,PHOR,Phoronida,SESSILE INVERT,0
2004,ABUR,PHSE,Phycodrys setchellii,UNDERSTORY ALGAE,0
2004,ABUR,PHSP,Phyllactis,SESSILE INVERT,0
2004,ABUR,PHTO,Phyllospadix torreyi,UNDERSTORY ALGAE,0
2004,ABUR,PIEL,Pista elongata,SESSILE INVERT,0
2004,ABUR,PL,Prionitis lanceolata,UNDERSTORY ALGAE,0
2004,ABUR,PLAB,Phidolopora labiata,SESSILE INVERT,0
2004,ABUR,PLUM,Plumularia,SESSILE INVERT,0
2004,ABUR,POLA,Polyneura latissima,UNDERSTORY ALGAE,0
2004,ABUR,POPL,Polyclinum planum,SESSILE INVERT,0
2004,ABUR,PRSP,Prionitis linearis,UNDERSTORY ALGAE,0
2004,ABUR,PRUB,Pachythyone rubra,SESSILE INVERT,0
2004,ABUR,PTCA,Pterygophora californica,UNDERSTORY ALGAE,129.40025
2004,ABUR,PYST,Pycnoclavella stanleyi,SESSILE INVERT,0
2004,ABUR,R,Rhodymenia californica,UNDERSTORY ALGAE,6.1
2004,ABUR,RAT,Rhodophyta,UNDERSTORY ALGAE,0
2004,ABUR,SABW,Sabellidae,SESSILE INVERT,0
2004,ABUR,SAFU,Sarcodiotheca furcata,UNDERSTORY ALGAE,0
2004,ABUR,SAHO,Sargassum horneri,UNDERSTORY ALGAE,0
2004,ABUR,SAMU,Sargassum muticum,UNDERSTORY ALGAE,0
2004,ABUR,SC,Spheciospongia confoederata,SESSILE INVERT,0
2004,ABUR,SCCA,Scinaia confusa,UNDERSTORY ALGAE,0
2004,ABUR,SE,Thylacodes squamigerus,SESSILE INVERT,0
2004,ABUR,SELO,Scytosiphon lomentaria,UNDERSTORY ALGAE,0
2004,ABUR,ST,Salmacina tribranchiata,SESSILE INVERT,0
2004,ABUR,STIN,Stenogramma californica,UNDERSTORY ALGAE,0
2004,ABUR,STMO,Styela montereyensis,SESSILE INVERT,0.192247800987595
2004,ABUR,TALE,Taonia lennebackerae,UNDERSTORY ALGAE,0
2004,ABUR,TC,Thalamoporella californica,SESSILE INVERT,0
2004,ABUR,TEAU,Tethya aurantium,SESSILE INVERT,0
2004,ABUR,UAB,Bryozoa,SESSILE INVERT,0
2004,ABUR,UIH,Hydroidolina,SESSILE INVERT,0
2004,ABUR,UM,Arthropoda,SESSILE INVERT,0
2004,ABUR,UNAN,Anthozoa,SESSILE INVERT,0
2004,ABUR,URLO,Urticina eques,SESSILE INVERT,0
2004,ABUR,URPI,Urticina piscivora,SESSILE INVERT,0
2004,ABUR,UT,Chordata,SESSILE INVERT,0
2004,ABUR,UV,Ulva,UNDERSTORY ALGAE,0
2004,ABUR,WASP,Watersipora subatra,SESSILE INVERT,0
2004,AHND,AB,Abietinaria,SESSILE INVERT,0
2004,AHND,AL,Astrangia haimei,SESSILE INVERT,0
2004,AHND,AMZO,Amphiroa beauvoisii,UNDERSTORY ALGAE,0
2004,AHND,ANSP,Anthopleura,SESSILE INVERT,4.29900888582098
2004,AHND,AR,Eudistoma psammion,SESSILE INVERT,0
2004,AHND,ARUD,Discophyton rudyi,SESSILE INVERT,0
2004,AHND,AS,Aglaophenia,SESSILE INVERT,0.031472975
2004,AHND,ATM,Amphipoda,SESSILE INVERT,0
2004,AHND,AU,Acrosorium ciliolatum,UNDERSTORY ALGAE,0.875
2004,AHND,BA,Megabalanus californicus,SESSILE INVERT,0
2004,AHND,BAEL,Balanophyllia elegans,SESSILE INVERT,0
2004,AHND,BCAL,Bugulina californica,SESSILE INVERT,0
2004,AHND,BF,Cryptopleura ruprechtiana,UNDERSTORY ALGAE,0
2004,AHND,BN,Bugula neritina,SESSILE INVERT,0
2004,AHND,BO,Bossiella orbigniana,UNDERSTORY ALGAE,0
2004,AHND,BOW,Amathia gracilis,SESSILE INVERT,0
2004,AHND,BR,Rhodophyceae,UNDERSTORY ALGAE,1.55
2004,AHND,BRA,Rhodophyceae,UNDERSTORY ALGAE,0
2004,AHND,BRSP,Barentsia,SESSILE INVERT,0
2004,AHND,CAL,Calliarthron cheilosporioid,UNDERSTORY ALGAE,0
2004,AHND,CC,Chondracanthus,UNDERSTORY ALGAE,6.3375
2004,AHND,CESP,Cellaria,SESSILE INVERT,0
2004,AHND,CF,Callophyllis flabellulata,UNDERSTORY ALGAE,0
2004,AHND,CG,Cladophora graminea,UNDERSTORY ALGAE,0
2004,AHND,CHPR,Chelyosoma productum,SESSILE INVERT,0
2004,AHND,CILU,Timarete luxuriosa,SESSILE INVERT,0
2004,AHND,CL,Clavelina,SESSILE INVERT,0
2004,AHND,CO,Corallina officinalis,UNDERSTORY ALGAE,0
2004,AHND,COF,Codium fragile,UNDERSTORY ALGAE,0
2004,AHND,COST,Celleporina robertsoniae,SESSILE INVERT,0
2004,AHND,CP,Colpomenia,UNDERSTORY ALGAE,0
2004,AHND,CRGI,Crassadoma gigantea,SESSILE INVERT,0
2004,AHND,CROC,Crisia occidentalis,SESSILE INVERT,0
2004,AHND,CRYP,Cryptopleura,UNDERSTORY ALGAE,0
2004,AHND,CUPI,Cucumaria piperata,SESSILE INVERT,0
2004,AHND,CUSP,Cucumaria,SESSILE INVERT,0
2004,AHND,CY,Corynactis californica,SESSILE INVERT,0
2004,AHND,CYOS,Stephanocystis osmundacea,UNDERSTORY ALGAE,30.28025
2004,AHND,CZ,Chondracanthus spinosus,UNDERSTORY ALGAE,0
2004,AHND,DC,Diaperoforma californica,SESSILE INVERT,0.060298425
2004,AHND,DIOR,Diopatra ornata,SESSILE INVERT,2.658925465
2004,AHND,DL,Desmarestia ligulata,UNDERSTORY ALGAE,0
2004,AHND,DOFE,Dodecaceria fewkesi,SESSILE INVERT,0
2004,AHND,DP,Dictyota,UNDERSTORY ALGAE,0
2004,AHND,DU,Dictyopteris undulata,UNDERSTORY ALGAE,0
2004,AHND,EA,Eisenia arborea,UNDERSTORY ALGAE,0
2004,AHND,EC,Corallinales,UNDERSTORY ALGAE,0.4125
2004,AHND,ECB,Bryozoa,SESSILE INVERT,0
2004,AHND,EGME,Egregia menziesii,UNDERSTORY ALGAE,4.79775
2004,AHND,ER,Rhodophyta,UNDERSTORY ALGAE,0
