"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
"TAXON_COUNT","Ave35",2013,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Ave35",2014,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Ave35",2015,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Ave35",2016,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Ave35",2017,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Ave67",2013,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Ave67",2014,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Ave67",2015,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Ave67",2016,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Ave67",2017,"count","Anaxyrus punctatus",0
"TAXON_COUNT","BM",2013,"count","Anaxyrus punctatus",0
"TAXON_COUNT","BM",2014,"count","Anaxyrus punctatus",0
"TAXON_COUNT","BM",2015,"count","Anaxyrus punctatus",0
"TAXON_COUNT","BM",2016,"count","Anaxyrus punctatus",0
"TAXON_COUNT","BM",2017,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Price",2013,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Price",2014,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Price",2015,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Price",2016,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Price",2017,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Priest",2013,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Priest",2014,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Priest",2015,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Priest",2016,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Priest",2017,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Rio",2013,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Rio",2014,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Rio",2015,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Rio",2016,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Rio",2017,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Tonto",2013,"count","Anaxyrus punctatus",1
"TAXON_COUNT","Tonto",2014,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Tonto",2015,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Tonto",2016,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Tonto",2017,"count","Anaxyrus punctatus",0
"TAXON_COUNT","Ave35",2013,"count","Anaxyrus woodhousii",0
"TAXON_COUNT","Ave35",2014,"count","Anaxyrus woodhousii",0
"TAXON_COUNT","Ave35",2015,"count","Anaxyrus woodhousii",0
"TAXON_COUNT","Ave35",2016,"count","Anaxyrus woodhousii",0
"TAXON_COUNT","Ave35",2017,"count","Anaxyrus woodhousii",0
"TAXON_COUNT","Ave67",2013,"count","Anaxyrus woodhousii",0
"TAXON_COUNT","Ave67",2014,"count","Anaxyrus woodhousii",0
"TAXON_COUNT","Ave67",2015,"count","Anaxyrus woodhousii",0
"TAXON_COUNT","Ave67",2016,"count","Anaxyrus woodhousii",0
"TAXON_COUNT","Ave67",2017,"count","Anaxyrus woodhousii",0
"TAXON_COUNT","BM",2013,"count","Anaxyrus woodhousii",0
"TAXON_COUNT","BM",2014,"count","Anaxyrus woodhousii",0
