"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
"TAXON_COUNT","21",1989,"COUNT (monthly sum)","Aeropedellus_clavatus",3
"TAXON_COUNT","21",1990,"COUNT (monthly sum)","Aeropedellus_clavatus",7
"TAXON_COUNT","21",1991,"COUNT (monthly sum)","Aeropedellus_clavatus",2
"TAXON_COUNT","21",1992,"COUNT (monthly sum)","Aeropedellus_clavatus",3
"TAXON_COUNT","21",1993,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","21",1994,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","21",1995,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","21",1996,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","21",1997,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","21",1998,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","21",1999,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","21",2000,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","21",2001,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","21",2002,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","21",2003,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","21",2004,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","21",2005,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","21",2006,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","24",1989,"COUNT (monthly sum)","Aeropedellus_clavatus",3
"TAXON_COUNT","24",1990,"COUNT (monthly sum)","Aeropedellus_clavatus",4
"TAXON_COUNT","24",1991,"COUNT (monthly sum)","Aeropedellus_clavatus",2
"TAXON_COUNT","24",1992,"COUNT (monthly sum)","Aeropedellus_clavatus",4
"TAXON_COUNT","24",1993,"COUNT (monthly sum)","Aeropedellus_clavatus",2
"TAXON_COUNT","24",1994,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","24",1995,"COUNT (monthly sum)","Aeropedellus_clavatus",2
"TAXON_COUNT","24",1996,"COUNT (monthly sum)","Aeropedellus_clavatus",2
"TAXON_COUNT","24",1997,"COUNT (monthly sum)","Aeropedellus_clavatus",2
"TAXON_COUNT","24",1998,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","24",1999,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","24",2000,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","24",2001,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","24",2002,"COUNT (monthly sum)","Aeropedellus_clavatus",2
"TAXON_COUNT","24",2003,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","24",2004,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","24",2005,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","24",2006,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","26",1989,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","26",1990,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","26",1991,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","26",1992,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","26",1993,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","26",1994,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","26",1995,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","26",1996,"COUNT (monthly sum)","Aeropedellus_clavatus",2
"TAXON_COUNT","26",1997,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","26",1998,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","26",1999,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","26",2000,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","26",2001,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","26",2002,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","26",2003,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","26",2004,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","26",2005,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","26",2006,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","27",1989,"COUNT (monthly sum)","Aeropedellus_clavatus",5
"TAXON_COUNT","27",1990,"COUNT (monthly sum)","Aeropedellus_clavatus",0
"TAXON_COUNT","27",1991,"COUNT (monthly sum)","Aeropedellus_clavatus",3
"TAXON_COUNT","27",1992,"COUNT (monthly sum)","Aeropedellus_clavatus",8
"TAXON_COUNT","27",1993,"COUNT (monthly sum)","Aeropedellus_clavatus",6
"TAXON_COUNT","27",1994,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","27",1995,"COUNT (monthly sum)","Aeropedellus_clavatus",1
"TAXON_COUNT","27",1996,"COUNT (monthly sum)","Aeropedellus_clavatus",2
"TAXON_COUNT","27",1997,"COUNT (monthly sum)","Aeropedellus_clavatus",3
"TAXON_COUNT","27",1998,"COUNT (monthly sum)","Aeropedellus_clavatus",2
"TAXON_COUNT","27",1999,"COUNT (monthly sum)","Aeropedellus_clavatus",0
