"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
"TAXON_COUNT","A_12","1982","BIOMASS","Achillea millefolium(lanulosa)","0.097"
"TAXON_COUNT","A_12","1983","BIOMASS","Achillea millefolium(lanulosa)","0.233"
"TAXON_COUNT","A_12","1984","BIOMASS","Achillea millefolium(lanulosa)","0.4"
"TAXON_COUNT","A_12","1985","BIOMASS","Achillea millefolium(lanulosa)","0.263"
"TAXON_COUNT","A_12","1986","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","1987","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","1988","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","1989","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","1990","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","1991","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","1992","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","1993","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","1994","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","1995","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","1996","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","1997","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","1998","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","1999","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","2000","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","2001","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","2002","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","2003","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_12","2004","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_22","1982","BIOMASS","Achillea millefolium(lanulosa)","5.233"
"TAXON_COUNT","A_22","1983","BIOMASS","Achillea millefolium(lanulosa)","2.667"
"TAXON_COUNT","A_22","1984","BIOMASS","Achillea millefolium(lanulosa)","4.18"
"TAXON_COUNT","A_22","1985","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_22","1986","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_22","1987","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_22","1988","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_22","1989","BIOMASS","Achillea millefolium(lanulosa)","0.767"
"TAXON_COUNT","A_22","1990","BIOMASS","Achillea millefolium(lanulosa)","0.38"
"TAXON_COUNT","A_22","1991","BIOMASS","Achillea millefolium(lanulosa)","0"
"TAXON_COUNT","A_22","1992","BIOMASS","Achillea millefolium(lanulosa)","12.567"
"TAXON_COUNT","A_22","1993","BIOMASS","Achillea millefolium(lanulosa)","6.433"
"TAXON_COUNT","A_22","1994","BIOMASS","Achillea millefolium(lanulosa)","0.867"
"TAXON_COUNT","A_22","1995","BIOMASS","Achillea millefolium(lanulosa)","0.6"
