"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_NAME","VARIABLE_UNITS","VALUE"
"TAXON_COUNT","4",2005,"ACCURCUR","PERCENT",0
"TAXON_COUNT","4",2006,"ACCURCUR","PERCENT",0
"TAXON_COUNT","4",2007,"ACCURCUR","PERCENT",0
"TAXON_COUNT","4",2008,"ACCURCUR","PERCENT",0
"TAXON_COUNT","4",2009,"ACCURCUR","PERCENT",0
"TAXON_COUNT","4",2010,"ACCURCUR","PERCENT",0
"TAXON_COUNT","4",2011,"ACCURCUR","PERCENT",0
"TAXON_COUNT","7",2005,"ACCURCUR","PERCENT",0
"TAXON_COUNT","7",2006,"ACCURCUR","PERCENT",0
"TAXON_COUNT","7",2007,"ACCURCUR","PERCENT",0
"TAXON_COUNT","7",2010,"ACCURCUR","PERCENT",0
"TAXON_COUNT","7",2011,"ACCURCUR","PERCENT",0
"TAXON_COUNT","7",2008,"ACCURCUR","PERCENT",0
"TAXON_COUNT","7",2009,"ACCURCUR","PERCENT",0
"TAXON_COUNT","23",2005,"ACCURCUR","PERCENT",0
"TAXON_COUNT","23",2006,"ACCURCUR","PERCENT",0
"TAXON_COUNT","23",2007,"ACCURCUR","PERCENT",0
"TAXON_COUNT","23",2008,"ACCURCUR","PERCENT",0
"TAXON_COUNT","23",2009,"ACCURCUR","PERCENT",0
"TAXON_COUNT","23",2010,"ACCURCUR","PERCENT",0
"TAXON_COUNT","23",2011,"ACCURCUR","PERCENT",0
"TAXON_COUNT","36",2005,"ACCURCUR","PERCENT",0
"TAXON_COUNT","36",2006,"ACCURCUR","PERCENT",0
"TAXON_COUNT","36",2007,"ACCURCUR","PERCENT",0
"TAXON_COUNT","36",2008,"ACCURCUR","PERCENT",0
"TAXON_COUNT","36",2009,"ACCURCUR","PERCENT",0
"TAXON_COUNT","36",2010,"ACCURCUR","PERCENT",0
"TAXON_COUNT","36",2011,"ACCURCUR","PERCENT",0
"TAXON_COUNT","39",2005,"ACCURCUR","PERCENT",0
"TAXON_COUNT","39",2006,"ACCURCUR","PERCENT",0
"TAXON_COUNT","39",2007,"ACCURCUR","PERCENT",0
"TAXON_COUNT","39",2008,"ACCURCUR","PERCENT",0
"TAXON_COUNT","39",2009,"ACCURCUR","PERCENT",0
"TAXON_COUNT","39",2010,"ACCURCUR","PERCENT",0
"TAXON_COUNT","39",2011,"ACCURCUR","PERCENT",0.375
"TAXON_COUNT","47",2005,"ACCURCUR","PERCENT",0
"TAXON_COUNT","47",2006,"ACCURCUR","PERCENT",0
"TAXON_COUNT","47",2007,"ACCURCUR","PERCENT",0
"TAXON_COUNT","47",2008,"ACCURCUR","PERCENT",0
"TAXON_COUNT","47",2009,"ACCURCUR","PERCENT",0
"TAXON_COUNT","47",2010,"ACCURCUR","PERCENT",0
