"","SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","OBSERVATION_TYPE","VALUE"
"57","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","AMICAL55","TAXON_COUNT",0
"58","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","ANCMIT57","TAXON_COUNT",0
"59","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","ANGROS54","TAXON_COUNT",0
"60","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","ARCPRO92","TAXON_COUNT",0
"61","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","ARIFEL69","TAXON_COUNT",0
"62","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","BAGMAR76","TAXON_COUNT",0
"63","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","BELBEL86","TAXON_COUNT",0
"64","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","CALSAP109","TAXON_COUNT",4.12738319715064
"65","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","CARHIP105","TAXON_COUNT",0
"66","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","CARLEU91","TAXON_COUNT",0
"67","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","CENUND50","TAXON_COUNT",2.32558139534884
"68","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","CICSPP110","TAXON_COUNT",0
"69","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","CICURO84","TAXON_COUNT",0
"70","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","CLABAT60","TAXON_COUNT",0
"71","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","CYNNEB104","TAXON_COUNT",0
"72","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","ELOPSAU117","TAXON_COUNT",0
"73","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","ENNGLO47","TAXON_COUNT",0
"74","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","ERISUC33","TAXON_COUNT",0
"75","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","ESOAME18","TAXON_COUNT",0
"76","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","ESONIG14","TAXON_COUNT",0
"77","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","EUCHAR103","TAXON_COUNT",30.9544496617
"78","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","EUCSPP115","TAXON_COUNT",5.26675786593707
"79","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","EUGPLU101","TAXON_COUNT",0
"80","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","EURGUL35","TAXON_COUNT",2.7027027027027
"81","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","FUNCHR8","TAXON_COUNT",0
"82","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","FUNCON4","TAXON_COUNT",0
"83","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","FUNGRA75","TAXON_COUNT",0
"84","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","FUNSEM34","TAXON_COUNT",0
"85","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","GOBROB106","TAXON_COUNT",0
"86","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","GOBSPP121","TAXON_COUNT",0
"87","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","HEMLET88","TAXON_COUNT",0
"88","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","KLEMAR102","TAXON_COUNT",0
"89","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","LAGHOM81","TAXON_COUNT",0
"90","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","LEPGUL38","TAXON_COUNT",0
"91","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","LEPMAC39","TAXON_COUNT",0
"92","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","LEPMAR42","TAXON_COUNT",0
"93","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","LEPMIC40","TAXON_COUNT",0
"94","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","LEPPLA17","TAXON_COUNT",1.47058823529412
"95","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","LEPPUN41","TAXON_COUNT",0
"96","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","LEPSPP19","TAXON_COUNT",0
"97","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","LOPCYP71","TAXON_COUNT",0
"98","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","LUTGRI74","TAXON_COUNT",0.900900900900901
"99","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","MACSIA100","TAXON_COUNT",0
"100","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","MCSAL20","TAXON_COUNT",4.41176470588235
"101","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","MEGATL51","TAXON_COUNT",0
"102","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","MICGUL67","TAXON_COUNT",0
"103","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","MUGCEP107","TAXON_COUNT",25.3546295953957
"104","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","NOTCRY9","TAXON_COUNT",0
"105","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","NOTGYR37","TAXON_COUNT",0
"106","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","OREAUR78","TAXON_COUNT",0
"107","1_TB","2011","CPUE = (COUNT / DISTANCE (M))*100","PTEMUL99","TAXON_COUNT",0
