"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
"TAXON_COUNT","e1q1-1","38","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","39","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","40","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","41","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","42","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","43","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","44","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","45","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","46","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","47","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","48","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","49","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","50","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","51","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","52","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","53","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","54","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","55","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","56","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","57","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","58","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","59","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","60","COUNT","Agropyron smithii",4
"TAXON_COUNT","e1q1-1","61","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","62","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","63","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","64","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","65","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","66","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","67","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","68","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","69","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","70","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","71","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-1","72","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","38","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","39","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","40","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","41","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","42","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","43","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","44","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","45","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","46","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","47","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","48","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","49","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","50","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","51","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","52","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","53","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","54","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","55","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","56","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","57","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","58","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","59","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","60","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","61","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","62","COUNT","Agropyron smithii",4
"TAXON_COUNT","e1q1-3","63","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","64","COUNT","Agropyron smithii",1
"TAXON_COUNT","e1q1-3","65","COUNT","Agropyron smithii",2
"TAXON_COUNT","e1q1-3","66","COUNT","Agropyron smithii",1
"TAXON_COUNT","e1q1-3","67","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","68","COUNT","Agropyron smithii",5
"TAXON_COUNT","e1q1-3","69","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","70","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","71","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1-3","72","COUNT","Agropyron smithii",3
"TAXON_COUNT","e1q1a-1","38","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","39","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","40","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","41","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","42","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","43","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","44","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","45","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","46","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","47","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","48","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","49","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","50","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","51","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","52","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","53","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","54","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","55","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","56","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","57","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","58","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","59","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","60","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","61","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","62","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","63","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","64","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","65","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","66","COUNT","Agropyron smithii",1
"TAXON_COUNT","e1q1a-1","67","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","68","COUNT","Agropyron smithii",2
"TAXON_COUNT","e1q1a-1","69","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","70","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","71","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-1","72","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","38","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","39","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","40","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","41","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","42","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","43","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","44","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","45","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","46","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","47","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","48","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","49","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","50","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","51","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","52","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","53","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","54","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","55","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","56","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","57","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","58","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","59","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","60","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","61","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","62","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","63","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","64","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","65","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","66","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","67","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","68","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","69","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","70","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","71","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-2","72","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","38","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","39","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","40","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","41","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","42","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","43","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","44","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","45","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","46","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","47","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","48","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","49","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","50","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","51","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","52","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","53","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","54","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","55","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","56","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","57","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","58","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","59","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","60","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","61","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","62","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","63","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","64","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","65","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","66","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","67","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","68","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","69","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","70","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","71","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q1a-3","72","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","38","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","39","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","40","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","41","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","42","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","43","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","44","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","45","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","46","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","47","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","48","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","49","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","50","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","51","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","52","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","53","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","54","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","55","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","56","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","57","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","58","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","59","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","60","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","61","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","62","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","63","COUNT","Agropyron smithii",2
"TAXON_COUNT","e1q3-1","64","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","65","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","66","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","67","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","68","COUNT","Agropyron smithii",2
"TAXON_COUNT","e1q3-1","69","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","70","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","71","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-1","72","COUNT","Agropyron smithii",5
"TAXON_COUNT","e1q3-3","38","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","39","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","40","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","41","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","42","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","43","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","44","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","45","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","46","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","47","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","48","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","49","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","50","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","51","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","52","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","53","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","54","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","55","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","56","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","57","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","58","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","59","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","60","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","61","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","62","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","63","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","64","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","65","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","66","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","67","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","68","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","69","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","70","COUNT","Agropyron smithii",0
"TAXON_COUNT","e1q3-3","71","COUNT","Agropyron smithii",4
"TAXON_COUNT","e1q3-3","72","COUNT","Agropyron smithii",33
"TAXON_COUNT","e2q2-4","38","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","39","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","40","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","41","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","42","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","43","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","44","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","45","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","46","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","47","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","48","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","49","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","50","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","51","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","52","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","53","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","54","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","55","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","56","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","57","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","58","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","59","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","60","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","61","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","62","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","63","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","64","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","65","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","66","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","67","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","68","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","69","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","70","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","71","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q2-4","72","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","38","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","39","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","40","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","41","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","42","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","43","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","44","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","45","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","46","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","47","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","48","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","49","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","50","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","51","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","52","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","53","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","54","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","55","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","56","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","57","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","58","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","59","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","60","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","61","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","62","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","63","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","64","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","65","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","66","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","67","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","68","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","69","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","70","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","71","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3-1","72","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","38","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","39","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","40","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","41","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","42","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","43","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","44","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","45","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","46","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","47","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","48","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","49","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","50","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","51","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","52","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","53","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","54","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","55","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","56","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","57","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","58","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","59","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","60","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","61","COUNT","Agropyron smithii",0
"TAXON_COUNT","e2q3a-1","62","COUNT","Agropyron smithii",0
