"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_NAME","VARIABLE_UNITS","VALUE"
"SPATIAL_COORDINATE","CALI",NA,"latitude","dec degrees",32.51202039
"SPATIAL_COORDINATE","GRAV",NA,"latitude","dec degrees",32.49018536
"SPATIAL_COORDINATE","SAND",NA,"latitude","dec degrees",32.51573591
"SPATIAL_COORDINATE","BASN",NA,"latitude","dec degrees",32.53012944
"SPATIAL_COORDINATE","IBPE",NA,"latitude","dec degrees",32.58870098
"SPATIAL_COORDINATE","SUMM",NA,"latitude","dec degrees",32.51311493
"SPATIAL_COORDINATE","NORT",NA,"latitude","dec degrees",32.61905963
"SPATIAL_COORDINATE","RABB",NA,"latitude","dec degrees",32.61169739
"SPATIAL_COORDINATE","WELL",NA,"latitude","dec degrees",32.60602222
"SPATIAL_COORDINATE","COLL",NA,"latitude","dec degrees",32.53147852
"SPATIAL_COORDINATE","SMAL",NA,"latitude","dec degrees",32.53974344
"SPATIAL_COORDINATE","TOBO",NA,"latitude","dec degrees",32.66778575
"SPATIAL_COORDINATE","EAST",NA,"latitude","dec degrees",32.51572404
"SPATIAL_COORDINATE","TAYL",NA,"latitude","dec degrees",32.55032489
"SPATIAL_COORDINATE","WEST",NA,"latitude","dec degrees",32.51252326
"SPATIAL_COORDINATE","CALI",NA,"longitude","dec degrees",-106.7964925
"SPATIAL_COORDINATE","GRAV",NA,"longitude","dec degrees",-106.7803587
"SPATIAL_COORDINATE","SAND",NA,"longitude","dec degrees",-106.790189
"SPATIAL_COORDINATE","BASN",NA,"longitude","dec degrees",-106.7875927
"SPATIAL_COORDINATE","IBPE",NA,"longitude","dec degrees",-106.8444333
"SPATIAL_COORDINATE","SUMM",NA,"longitude","dec degrees",-106.8007245
"SPATIAL_COORDINATE","NORT",NA,"longitude","dec degrees",-106.7872059
"SPATIAL_COORDINATE","RABB",NA,"longitude","dec degrees",-106.7969257
"SPATIAL_COORDINATE","WELL",NA,"longitude","dec degrees",-106.8513602
"SPATIAL_COORDINATE","COLL",NA,"longitude","dec degrees",-106.7900426
"SPATIAL_COORDINATE","SMAL",NA,"longitude","dec degrees",-106.8596897
"SPATIAL_COORDINATE","TOBO",NA,"longitude","dec degrees",-106.7714033
