"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
"TAXON_COUNT","a1",1915,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1916,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1917,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1919,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1920,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1921,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1923,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1924,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1925,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1927,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1928,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1931,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1932,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1933,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1935,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1936,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1937,"count (average)","ACOUR","0"
"TAXON_COUNT","a1",1938,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1915,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1916,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1917,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1919,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1920,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1921,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1923,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1924,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1925,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1927,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1928,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1931,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1932,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1933,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1935,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1936,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1937,"count (average)","ACOUR","0"
"TAXON_COUNT","a2",1938,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1915,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1917,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1919,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1920,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1921,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1923,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1924,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1925,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1927,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1928,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1931,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1932,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1933,"count (average)","ACOUR","0"
"TAXON_COUNT","a4",1935,"count (average)","ACOUR","0"
