"DATE","SITE_ID","OBSERVATION_TYPE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
1996,"001d_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1996,"001d_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1996,"002c_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1996,"002c_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1996,"002d_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1996,"002d_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1996,"004b_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1996,"004b_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1996,"004f_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1996,"004f_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1996,"0spb_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1996,"0spb_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1996,"0sub_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1997,"001d_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1997,"001d_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1997,"002c_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1997,"002c_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1997,"002d_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1997,"002d_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1997,"004b_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1997,"004b_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1997,"004f_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1997,"004f_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1997,"0spb_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1997,"0spb_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1997,"0sub_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1998,"001d_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",1
1998,"001d_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",28
1998,"002c_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1998,"002c_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1998,"002d_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",25
1998,"002d_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",23
1998,"004b_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1998,"004b_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1998,"004f_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1998,"004f_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1998,"0spb_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",4
1998,"0spb_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",5
1998,"0sub_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",16
1999,"001d_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1999,"001d_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1999,"002c_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1999,"002c_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1999,"002d_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1999,"002d_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1999,"004b_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1999,"004b_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1999,"004f_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1999,"004f_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1999,"0spb_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1999,"0spb_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
1999,"0sub_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2000,"001d_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2000,"001d_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2000,"002c_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2000,"002c_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2000,"002d_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2000,"002d_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2000,"004b_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2000,"004b_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2000,"004f_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2000,"004f_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2000,"0spb_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2000,"0spb_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2000,"0sub_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",1.5
2001,"001d_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2001,"001d_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2001,"002c_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2001,"002c_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2001,"002d_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2001,"002d_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2001,"004b_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2001,"004b_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2001,"004f_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2001,"004f_b_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
2001,"0spb_a_fl","TAXON_COUNT","COUNT (average)","Ageneotettix_deorum",0
