"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_NAME","VARIABLE_UNITS","VALUE"
"SPATIAL_COORDINATE","transectlocation1",NA,"LAT","dec. degrees",-17.47913579
"SPATIAL_COORDINATE","transectlocation2",NA,"LAT","dec. degrees",-17.47354064
"SPATIAL_COORDINATE","transectlocation3",NA,"LAT","dec. degrees",-17.51234592
"SPATIAL_COORDINATE","transectlocation4",NA,"LAT","dec. degrees",-17.54184642
"SPATIAL_COORDINATE","transectlocation5",NA,"LAT","dec. degrees",-17.58000273
"SPATIAL_COORDINATE","transectlocation6",NA,"LAT","dec. degrees",-17.51787861
"SPATIAL_COORDINATE","transectlocation1",NA,"LONG","dec. degrees",-149.8377064
"SPATIAL_COORDINATE","transectlocation2",NA,"LONG","dec. degrees",-149.8039267
"SPATIAL_COORDINATE","transectlocation3",NA,"LONG","dec. degrees",-149.7614294
"SPATIAL_COORDINATE","transectlocation4",NA,"LONG","dec. degrees",-149.7669862
"SPATIAL_COORDINATE","transectlocation5",NA,"LONG","dec. degrees",-149.8715382
"SPATIAL_COORDINATE","transectlocation6",NA,"LONG","dec. degrees",-149.9230353
"TAXON_COUNT","transectlocation1",2006,"Abudefduf septemfasciatus","mean.biomass.per.250_m2",5.3125
"TAXON_COUNT","transectlocation1",2006,"Abudefduf sexfasciatus","mean.biomass.per.250_m2",46.0320833333333
"TAXON_COUNT","transectlocation1",2006,"Abudefduf sordidus","mean.biomass.per.250_m2",0
"TAXON_COUNT","transectlocation1",2006,"Acanthuridae unidentified","mean.biomass.per.250_m2",0
"TAXON_COUNT","transectlocation1",2006,"Acanthurus achilles","mean.biomass.per.250_m2",0.915
"TAXON_COUNT","transectlocation1",2006,"Acanthurus blochii","mean.biomass.per.250_m2",0
"TAXON_COUNT","transectlocation1",2006,"Acanthurus guttatus","mean.biomass.per.250_m2",0
"TAXON_COUNT","transectlocation1",2006,"Acanthurus lineatus","mean.biomass.per.250_m2",0
"TAXON_COUNT","transectlocation1",2006,"Acanthurus mata","mean.biomass.per.250_m2",0
"TAXON_COUNT","transectlocation1",2006,"Acanthurus nigricans","mean.biomass.per.250_m2",32.7393055555556
"TAXON_COUNT","transectlocation1",2006,"Acanthurus nigricauda","mean.biomass.per.250_m2",35.4666666666667
"TAXON_COUNT","transectlocation1",2006,"Acanthurus nigrofuscus","mean.biomass.per.250_m2",88.5532222222222
"TAXON_COUNT","transectlocation1",2006,"Acanthurus nigros","mean.biomass.per.250_m2",0
"TAXON_COUNT","transectlocation1",2006,"Acanthurus olivaceus","mean.biomass.per.250_m2",40.1083333333333
"TAXON_COUNT","transectlocation1",2006,"Acanthurus pyroferus","mean.biomass.per.250_m2",55.5306666666667
"TAXON_COUNT","transectlocation1",2006,"Acanthurus thompsoni","mean.biomass.per.250_m2",65.1458333333333
"TAXON_COUNT","transectlocation1",2006,"Acanthurus triostegus","mean.biomass.per.250_m2",2119.13916666667
"TAXON_COUNT","transectlocation1",2006,"Acanthurus xanthopterus","mean.biomass.per.250_m2",0
"TAXON_COUNT","transectlocation1",2006,"Aetobatus ocellatus","mean.biomass.per.250_m2",0
"TAXON_COUNT","transectlocation1",2006,"Aluterus scriptus","mean.biomass.per.250_m2",0
"TAXON_COUNT","transectlocation1",2006,"Amanses scopas","mean.biomass.per.250_m2",1.06666666666667
"TAXON_COUNT","transectlocation1",2006,"Amblyeleotris fasciata","mean.biomass.per.250_m2",0
"TAXON_COUNT","transectlocation1",2006,"Amblygobius nocturnus","mean.biomass.per.250_m2",0
