"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_NAME","VARIABLE_UNITS","VALUE"
"SPATIAL_COORDINATE","location1",NA,"LAT","dec. degrees",-17.47913579
"SPATIAL_COORDINATE","location2",NA,"LAT","dec. degrees",-17.47354064
"SPATIAL_COORDINATE","location3",NA,"LAT","dec. degrees",-17.51234592
"SPATIAL_COORDINATE","location4",NA,"LAT","dec. degrees",-17.54184642
"SPATIAL_COORDINATE","location5",NA,"LAT","dec. degrees",-17.58000273
"SPATIAL_COORDINATE","location6",NA,"LAT","dec. degrees",-17.51787861
"SPATIAL_COORDINATE","location1",NA,"LONG","dec. degrees",-149.8377064
"SPATIAL_COORDINATE","location2",NA,"LONG","dec. degrees",-149.8039267
"SPATIAL_COORDINATE","location3",NA,"LONG","dec. degrees",-149.7614294
"SPATIAL_COORDINATE","location4",NA,"LONG","dec. degrees",-149.7669862
"SPATIAL_COORDINATE","location5",NA,"LONG","dec. degrees",-149.8715382
"SPATIAL_COORDINATE","location6",NA,"LONG","dec. degrees",-149.9230353
"TAXON_COUNT","location1",2005,"Acanthaster planci","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2005,"Culcita novaeguineae","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2005,"Diadema savignyi","mean.count.per.1_m2",0.9
"TAXON_COUNT","location1",2005,"Diadema setosum","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2005,"Echinometra mathaei","mean.count.per.1_m2",3.13333333333333
"TAXON_COUNT","location1",2005,"Echinometra oblonga","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2005,"Echinostrephus aciculatus","mean.count.per.1_m2",1.7
"TAXON_COUNT","location1",2005,"Echinothrix calamaris","mean.count.per.1_m2",0.2
"TAXON_COUNT","location1",2005,"Echinothrix diadema","mean.count.per.1_m2",0.2
"TAXON_COUNT","location1",2005,"Lambis truncata","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2005,"Linckia laevigata (1m away)","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2005,"Spirobranchus giganteus","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2005,"Tectus niloticus","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2005,"Tridacna maxima (1m away)","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2005,"Tripneustes gratilla","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2005,"Trochus maculatus","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2005,"Turbo marmoratus","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Acanthaster planci","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Culcita novaeguineae","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Diadema savignyi","mean.count.per.1_m2",0.125
"TAXON_COUNT","location1",2006,"Diadema setosum","mean.count.per.1_m2",0.375
"TAXON_COUNT","location1",2006,"Echinometra mathaei","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Echinometra oblonga","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Echinostrephus aciculatus","mean.count.per.1_m2",9.625
"TAXON_COUNT","location1",2006,"Echinothrix calamaris","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Echinothrix diadema","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Lambis truncata","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Linckia laevigata (1m away)","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Spirobranchus giganteus","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Tectus niloticus","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Tridacna maxima (1m away)","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Tripneustes gratilla","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Trochus maculatus","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2006,"Turbo marmoratus","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2007,"Acanthaster planci","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2007,"Culcita novaeguineae","mean.count.per.1_m2",0.0125
"TAXON_COUNT","location1",2007,"Diadema savignyi","mean.count.per.1_m2",0
"TAXON_COUNT","location1",2007,"Diadema setosum","mean.count.per.1_m2",0.025
"TAXON_COUNT","location1",2007,"Echinometra mathaei","mean.count.per.1_m2",4.0625
"TAXON_COUNT","location1",2007,"Echinometra oblonga","mean.count.per.1_m2",0.025
"TAXON_COUNT","location1",2007,"Echinostrephus aciculatus","mean.count.per.1_m2",0.4625
"TAXON_COUNT","location1",2007,"Echinothrix calamaris","mean.count.per.1_m2",0.025
