"DATE","SITE_ID","OBSERVATION_TYPE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
1981,"AL","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1981,"BM","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1981,"CR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1981,"SP","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1981,"TR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1982,"AL","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1982,"BM","TAXON_COUNT","CPUE","BGPUMPHYBRID",0.0555555555555556
1982,"CR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1982,"SP","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1982,"TR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1983,"AL","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1983,"BM","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1983,"CR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1983,"SP","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1983,"TR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1984,"AL","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1984,"BM","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1984,"CR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1984,"SP","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1984,"TR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1985,"AL","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1985,"BM","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1985,"CR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1985,"SP","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1985,"TR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1986,"AL","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1986,"BM","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1986,"CR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1986,"SP","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1986,"TR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1987,"AL","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1987,"BM","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1987,"CR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1987,"SP","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1987,"TR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1988,"AL","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1988,"BM","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1988,"CR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1988,"SP","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1988,"TR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1989,"AL","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1989,"BM","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1989,"CR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1989,"SP","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1989,"TR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1990,"AL","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1990,"BM","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1990,"CR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1990,"SP","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1990,"TR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1991,"AL","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1991,"BM","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1991,"CR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1991,"SP","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1991,"TR","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
1992,"AL","TAXON_COUNT","CPUE","BGPUMPHYBRID",0
