"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
"TAXON_COUNT","AL",1982,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",4.1
"TAXON_COUNT","AL",1983,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0.6
"TAXON_COUNT","AL",1984,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",1.3
"TAXON_COUNT","AL",1985,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",1.5
"TAXON_COUNT","AL",1986,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0.8
"TAXON_COUNT","AL",1987,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0
"TAXON_COUNT","AL",1988,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",1.8
"TAXON_COUNT","AL",1989,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0.5
"TAXON_COUNT","AL",1990,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0
"TAXON_COUNT","AL",1991,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",4.2
"TAXON_COUNT","AL",1992,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0
"TAXON_COUNT","AL",1993,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",2.1
"TAXON_COUNT","AL",1994,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0
"TAXON_COUNT","AL",1995,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0.5
"TAXON_COUNT","AL",1996,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",15.9
"TAXON_COUNT","AL",1997,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",5.8
"TAXON_COUNT","AL",1998,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",2.6
"TAXON_COUNT","AL",1999,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",2.2
"TAXON_COUNT","AL",2000,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0.5
"TAXON_COUNT","AL",2001,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0
"TAXON_COUNT","AL",2002,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0
"TAXON_COUNT","AL",2003,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",1.2
"TAXON_COUNT","AL",2004,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",1.4
"TAXON_COUNT","AL",2005,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0.6
"TAXON_COUNT","AL",2006,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",4.8
"TAXON_COUNT","AL",2007,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0
"TAXON_COUNT","AL",2008,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0.3
"TAXON_COUNT","AL",2009,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0
"TAXON_COUNT","AL",2010,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0
"TAXON_COUNT","AL",2011,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0
"TAXON_COUNT","AL",2012,"max annual density; number per liter","ACANTHOCYCLOPS VERNALIS",0
