"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
"TAXON_COUNT","C_A","1992","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_A","1993","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_A","1994","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_A","1995","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_A","1996","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_A","1997","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_A","1998","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_A","1999","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_A","2000","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_A","2001","Average_count","ACR_ACR_AC_NYM",1
"TAXON_COUNT","C_A","2002","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_A","2003","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_A","2004","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_B","1992","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_B","1993","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_B","1994","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_B","1995","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_B","1996","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_B","1997","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_B","1998","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_B","1999","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_B","2000","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_B","2001","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_B","2002","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_B","2003","Average_count","ACR_ACR_AC_NYM",0
"TAXON_COUNT","C_B","2004","Average_count","ACR_ACR_AC_NYM",0
