"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
"TAXON_COUNT","P_1_N",2003,"count","ACNE",0
"TAXON_COUNT","P_1_N",2004,"count","ACNE",0
"TAXON_COUNT","P_1_N",2005,"count","ACNE",0
"TAXON_COUNT","P_1_N",2006,"count","ACNE",1
"TAXON_COUNT","P_1_N",2007,"count","ACNE",0
"TAXON_COUNT","P_1_N",2008,"count","ACNE",63
"TAXON_COUNT","P_1_N",2009,"count","ACNE",0
"TAXON_COUNT","P_1_N",2010,"count","ACNE",0
"TAXON_COUNT","P_1_N",2011,"count","ACNE",28
"TAXON_COUNT","P_1_N",2012,"count","ACNE",0
"TAXON_COUNT","P_1_N",2013,"count","ACNE",23
"TAXON_COUNT","P_1_N",2014,"count","ACNE",9
"TAXON_COUNT","P_1_N",2015,"count","ACNE",0
"TAXON_COUNT","P_1_R",2003,"count","ACNE",0
"TAXON_COUNT","P_1_R",2004,"count","ACNE",0
"TAXON_COUNT","P_1_R",2005,"count","ACNE",0
"TAXON_COUNT","P_1_R",2006,"count","ACNE",1
"TAXON_COUNT","P_1_R",2007,"count","ACNE",0
"TAXON_COUNT","P_1_R",2008,"count","ACNE",0
"TAXON_COUNT","P_1_R",2009,"count","ACNE",0
"TAXON_COUNT","P_1_R",2010,"count","ACNE",0
"TAXON_COUNT","P_1_R",2011,"count","ACNE",2
"TAXON_COUNT","P_1_R",2012,"count","ACNE",0
"TAXON_COUNT","P_1_R",2013,"count","ACNE",0
"TAXON_COUNT","P_1_R",2014,"count","ACNE",0
"TAXON_COUNT","P_1_R",2015,"count","ACNE",0
"TAXON_COUNT","P_1_S",2003,"count","ACNE",0
"TAXON_COUNT","P_1_S",2004,"count","ACNE",0
"TAXON_COUNT","P_1_S",2005,"count","ACNE",0
"TAXON_COUNT","P_1_S",2006,"count","ACNE",6
"TAXON_COUNT","P_1_S",2007,"count","ACNE",0
"TAXON_COUNT","P_1_S",2008,"count","ACNE",31
"TAXON_COUNT","P_1_S",2009,"count","ACNE",0
"TAXON_COUNT","P_1_S",2010,"count","ACNE",0
"TAXON_COUNT","P_1_S",2011,"count","ACNE",29
"TAXON_COUNT","P_1_S",2012,"count","ACNE",0
"TAXON_COUNT","P_1_S",2013,"count","ACNE",30
"TAXON_COUNT","P_1_S",2014,"count","ACNE",16
"TAXON_COUNT","P_1_S",2015,"count","ACNE",0
"TAXON_COUNT","P_1_V",2003,"count","ACNE",0
"TAXON_COUNT","P_1_V",2004,"count","ACNE",0
"TAXON_COUNT","P_1_V",2005,"count","ACNE",0
"TAXON_COUNT","P_1_V",2006,"count","ACNE",0
"TAXON_COUNT","P_1_V",2007,"count","ACNE",0
"TAXON_COUNT","P_1_V",2008,"count","ACNE",0
"TAXON_COUNT","P_1_V",2009,"count","ACNE",0
"TAXON_COUNT","P_1_V",2010,"count","ACNE",0
"TAXON_COUNT","P_1_V",2011,"count","ACNE",1
"TAXON_COUNT","P_1_V",2012,"count","ACNE",0
"TAXON_COUNT","P_1_V",2013,"count","ACNE",0
"TAXON_COUNT","P_1_V",2014,"count","ACNE",0
"TAXON_COUNT","P_1_V",2015,"count","ACNE",0
"TAXON_COUNT","P_2_N",2003,"count","ACNE",0
"TAXON_COUNT","P_2_N",2004,"count","ACNE",0
"TAXON_COUNT","P_2_N",2005,"count","ACNE",0
"TAXON_COUNT","P_2_N",2006,"count","ACNE",31
"TAXON_COUNT","P_2_N",2007,"count","ACNE",0
"TAXON_COUNT","P_2_N",2008,"count","ACNE",113
"TAXON_COUNT","P_2_N",2009,"count","ACNE",0
"TAXON_COUNT","P_2_N",2010,"count","ACNE",1
"TAXON_COUNT","P_2_N",2011,"count","ACNE",67
"TAXON_COUNT","P_2_N",2012,"count","ACNE",2
"TAXON_COUNT","P_2_N",2013,"count","ACNE",152
"TAXON_COUNT","P_2_N",2014,"count","ACNE",17
"TAXON_COUNT","P_2_N",2015,"count","ACNE",0
"TAXON_COUNT","P_2_R",2003,"count","ACNE",0
"TAXON_COUNT","P_2_R",2004,"count","ACNE",0
"TAXON_COUNT","P_2_R",2005,"count","ACNE",0
"TAXON_COUNT","P_2_R",2006,"count","ACNE",1
"TAXON_COUNT","P_2_R",2007,"count","ACNE",0
"TAXON_COUNT","P_2_R",2008,"count","ACNE",0
"TAXON_COUNT","P_2_R",2009,"count","ACNE",0
"TAXON_COUNT","P_2_R",2010,"count","ACNE",0
"TAXON_COUNT","P_2_R",2011,"count","ACNE",0
"TAXON_COUNT","P_2_R",2012,"count","ACNE",0
"TAXON_COUNT","P_2_R",2013,"count","ACNE",2
"TAXON_COUNT","P_2_R",2014,"count","ACNE",13
"TAXON_COUNT","P_2_R",2015,"count","ACNE",0
"TAXON_COUNT","P_2_S",2003,"count","ACNE",9
"TAXON_COUNT","P_2_S",2004,"count","ACNE",0
"TAXON_COUNT","P_2_S",2005,"count","ACNE",0
"TAXON_COUNT","P_2_S",2006,"count","ACNE",9
"TAXON_COUNT","P_2_S",2007,"count","ACNE",0
"TAXON_COUNT","P_2_S",2008,"count","ACNE",26
"TAXON_COUNT","P_2_S",2009,"count","ACNE",0
"TAXON_COUNT","P_2_S",2010,"count","ACNE",0
"TAXON_COUNT","P_2_S",2011,"count","ACNE",8
"TAXON_COUNT","P_2_S",2012,"count","ACNE",4
"TAXON_COUNT","P_2_S",2013,"count","ACNE",56
"TAXON_COUNT","P_2_S",2014,"count","ACNE",31
"TAXON_COUNT","P_2_S",2015,"count","ACNE",0
"TAXON_COUNT","P_2_V",2003,"count","ACNE",27
"TAXON_COUNT","P_2_V",2004,"count","ACNE",0
"TAXON_COUNT","P_2_V",2005,"count","ACNE",0
"TAXON_COUNT","P_2_V",2006,"count","ACNE",2
"TAXON_COUNT","P_2_V",2007,"count","ACNE",0
"TAXON_COUNT","P_2_V",2008,"count","ACNE",65
"TAXON_COUNT","P_2_V",2009,"count","ACNE",0
