"SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","VALUE","OBSERVATION_TYPE"
"13NW",1999,"PCT_COVER","AGSM",23.5217391304348,"TAXON_COUNT"
"13NW",2000,"PCT_COVER","AGSM",7.95,"TAXON_COUNT"
"13NW",2001,"PCT_COVER","AGSM",11.85,"TAXON_COUNT"
"13NW",2002,"PCT_COVER","AGSM",4.33333333333333,"TAXON_COUNT"
"13NW",2003,"PCT_COVER","AGSM",20.7857142857143,"TAXON_COUNT"
"13NW",2004,"PCT_COVER","AGSM",4.66666666666667,"TAXON_COUNT"
"13NW",2005,"PCT_COVER","AGSM",7.8125,"TAXON_COUNT"
"13NW",2006,"PCT_COVER","AGSM",4.2,"TAXON_COUNT"
"13SW",1999,"PCT_COVER","AGSM",5.28571428571429,"TAXON_COUNT"
"13SW",2000,"PCT_COVER","AGSM",1.83333333333333,"TAXON_COUNT"
"13SW",2001,"PCT_COVER","AGSM",4.25,"TAXON_COUNT"
"13SW",2002,"PCT_COVER","AGSM",5,"TAXON_COUNT"
"13SW",2003,"PCT_COVER","AGSM",8.33333333333333,"TAXON_COUNT"
"13SW",2004,"PCT_COVER","AGSM",7.5,"TAXON_COUNT"
"13SW",2005,"PCT_COVER","AGSM",5,"TAXON_COUNT"
"13SW",2006,"PCT_COVER","AGSM",0.833333333333333,"TAXON_COUNT"
"24NE",1999,"PCT_COVER","AGSM",12.4285714285714,"TAXON_COUNT"
"24NE",2000,"PCT_COVER","AGSM",1.57142857142857,"TAXON_COUNT"
"24NE",2001,"PCT_COVER","AGSM",12.7,"TAXON_COUNT"
"24NE",2002,"PCT_COVER","AGSM",5,"TAXON_COUNT"
"24NE",2003,"PCT_COVER","AGSM",15,"TAXON_COUNT"
"24NE",2004,"PCT_COVER","AGSM",6.42857142857143,"TAXON_COUNT"
"24NE",2005,"PCT_COVER","AGSM",5,"TAXON_COUNT"
"24NE",2006,"PCT_COVER","AGSM",0.866666666666667,"TAXON_COUNT"
"25NE",1999,"PCT_COVER","AGSM",5,"TAXON_COUNT"
"25NE",2000,"PCT_COVER","AGSM",2.16666666666667,"TAXON_COUNT"
"25NE",2001,"PCT_COVER","AGSM",1,"TAXON_COUNT"
"25NE",2002,"PCT_COVER","AGSM",8.33333333333333,"TAXON_COUNT"
"25NE",2003,"PCT_COVER","AGSM",0,"TAXON_COUNT"
"25NE",2004,"PCT_COVER","AGSM",0,"TAXON_COUNT"
"25NE",2005,"PCT_COVER","AGSM",0,"TAXON_COUNT"
"25NE",2006,"PCT_COVER","AGSM",0.2,"TAXON_COUNT"
"26NW",1999,"PCT_COVER","AGSM",6.14285714285714,"TAXON_COUNT"
"26NW",2000,"PCT_COVER","AGSM",2,"TAXON_COUNT"
"26NW",2001,"PCT_COVER","AGSM",3.44444444444444,"TAXON_COUNT"
"26NW",2002,"PCT_COVER","AGSM",2.33333333333333,"TAXON_COUNT"
"26NW",2003,"PCT_COVER","AGSM",5.66666666666667,"TAXON_COUNT"
"26NW",2004,"PCT_COVER","AGSM",2,"TAXON_COUNT"
"26NW",2005,"PCT_COVER","AGSM",5.55555555555556,"TAXON_COUNT"
"26NW",2006,"PCT_COVER","AGSM",2.33333333333333,"TAXON_COUNT"
"27NE",1999,"PCT_COVER","AGSM",1,"TAXON_COUNT"
"27NE",2000,"PCT_COVER","AGSM",1,"TAXON_COUNT"
"27NE",2001,"PCT_COVER","AGSM",0,"TAXON_COUNT"
"27NE",2002,"PCT_COVER","AGSM",1,"TAXON_COUNT"
"27NE",2003,"PCT_COVER","AGSM",5,"TAXON_COUNT"
"27NE",2004,"PCT_COVER","AGSM",5,"TAXON_COUNT"
"27NE",2005,"PCT_COVER","AGSM",0,"TAXON_COUNT"
"27NE",2006,"PCT_COVER","AGSM",1.33333333333333,"TAXON_COUNT"
"13NW",1999,"PCT_COVER","AMPS",5,"TAXON_COUNT"
"13NW",2000,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"13NW",2001,"PCT_COVER","AMPS",5,"TAXON_COUNT"
"13NW",2002,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"13NW",2003,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"13NW",2004,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"13NW",2005,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"13NW",2006,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"13SW",1999,"PCT_COVER","AMPS",10,"TAXON_COUNT"
"13SW",2000,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"13SW",2001,"PCT_COVER","AMPS",3,"TAXON_COUNT"
"13SW",2002,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"13SW",2003,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"13SW",2004,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"13SW",2005,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"13SW",2006,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"24NE",1999,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"24NE",2000,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"24NE",2001,"PCT_COVER","AMPS",5,"TAXON_COUNT"
"24NE",2002,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"24NE",2003,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"24NE",2004,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"24NE",2005,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"24NE",2006,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"25NE",1999,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"25NE",2000,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"25NE",2001,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"25NE",2002,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"25NE",2003,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"25NE",2004,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"25NE",2005,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"25NE",2006,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"26NW",1999,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"26NW",2000,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"26NW",2001,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"26NW",2002,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"26NW",2003,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"26NW",2004,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"26NW",2005,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"26NW",2006,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"27NE",1999,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"27NE",2000,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"27NE",2001,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"27NE",2002,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"27NE",2003,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"27NE",2004,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"27NE",2005,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"27NE",2006,"PCT_COVER","AMPS",0,"TAXON_COUNT"
"13NW",1999,"PCT_COVER","ARDR",1,"TAXON_COUNT"
"13NW",2000,"PCT_COVER","ARDR",3.5,"TAXON_COUNT"
"13NW",2001,"PCT_COVER","ARDR",3,"TAXON_COUNT"
"13NW",2002,"PCT_COVER","ARDR",10,"TAXON_COUNT"
"13NW",2003,"PCT_COVER","ARDR",5,"TAXON_COUNT"
"13NW",2004,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"13NW",2005,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"13NW",2006,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"13SW",1999,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"13SW",2000,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"13SW",2001,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"13SW",2002,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"13SW",2003,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"13SW",2004,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"13SW",2005,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"13SW",2006,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"24NE",1999,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"24NE",2000,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"24NE",2001,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"24NE",2002,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"24NE",2003,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"24NE",2004,"PCT_COVER","ARDR",15,"TAXON_COUNT"
"24NE",2005,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"24NE",2006,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"25NE",1999,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"25NE",2000,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"25NE",2001,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"25NE",2002,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"25NE",2003,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"25NE",2004,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"25NE",2005,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"25NE",2006,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"26NW",1999,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"26NW",2000,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"26NW",2001,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"26NW",2002,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"26NW",2003,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"26NW",2004,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"26NW",2005,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"26NW",2006,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"27NE",1999,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"27NE",2000,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"27NE",2001,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"27NE",2002,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"27NE",2003,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"27NE",2004,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"27NE",2005,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"27NE",2006,"PCT_COVER","ARDR",0,"TAXON_COUNT"
"13NW",1999,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13NW",2000,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13NW",2001,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13NW",2002,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13NW",2003,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13NW",2004,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13NW",2005,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13NW",2006,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13SW",1999,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13SW",2000,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13SW",2001,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13SW",2002,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13SW",2003,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13SW",2004,"PCT_COVER","AREF",13.8571428571429,"TAXON_COUNT"
"13SW",2005,"PCT_COVER","AREF",0,"TAXON_COUNT"
"13SW",2006,"PCT_COVER","AREF",0,"TAXON_COUNT"
"24NE",1999,"PCT_COVER","AREF",0,"TAXON_COUNT"
"24NE",2000,"PCT_COVER","AREF",0,"TAXON_COUNT"
"24NE",2001,"PCT_COVER","AREF",0,"TAXON_COUNT"
"24NE",2002,"PCT_COVER","AREF",0,"TAXON_COUNT"
"24NE",2003,"PCT_COVER","AREF",30,"TAXON_COUNT"
"24NE",2004,"PCT_COVER","AREF",0,"TAXON_COUNT"
"24NE",2005,"PCT_COVER","AREF",0,"TAXON_COUNT"
"24NE",2006,"PCT_COVER","AREF",0,"TAXON_COUNT"
"25NE",1999,"PCT_COVER","AREF",0,"TAXON_COUNT"
"25NE",2000,"PCT_COVER","AREF",0,"TAXON_COUNT"
"25NE",2001,"PCT_COVER","AREF",0,"TAXON_COUNT"
"25NE",2002,"PCT_COVER","AREF",0,"TAXON_COUNT"
"25NE",2003,"PCT_COVER","AREF",0,"TAXON_COUNT"
"25NE",2004,"PCT_COVER","AREF",0,"TAXON_COUNT"
"25NE",2005,"PCT_COVER","AREF",0,"TAXON_COUNT"
"25NE",2006,"PCT_COVER","AREF",0,"TAXON_COUNT"
"26NW",1999,"PCT_COVER","AREF",0,"TAXON_COUNT"
"26NW",2000,"PCT_COVER","AREF",0,"TAXON_COUNT"
"26NW",2001,"PCT_COVER","AREF",0,"TAXON_COUNT"
"26NW",2002,"PCT_COVER","AREF",0,"TAXON_COUNT"
"26NW",2003,"PCT_COVER","AREF",0,"TAXON_COUNT"
"26NW",2004,"PCT_COVER","AREF",0,"TAXON_COUNT"
"26NW",2005,"PCT_COVER","AREF",0,"TAXON_COUNT"
"26NW",2006,"PCT_COVER","AREF",0,"TAXON_COUNT"
"27NE",1999,"PCT_COVER","AREF",0,"TAXON_COUNT"
"27NE",2000,"PCT_COVER","AREF",0,"TAXON_COUNT"
"27NE",2001,"PCT_COVER","AREF",0,"TAXON_COUNT"
"27NE",2002,"PCT_COVER","AREF",0,"TAXON_COUNT"
"27NE",2003,"PCT_COVER","AREF",0,"TAXON_COUNT"
"27NE",2004,"PCT_COVER","AREF",0,"TAXON_COUNT"
"27NE",2005,"PCT_COVER","AREF",0,"TAXON_COUNT"
