"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
"TAXON_COUNT","11",1995,"PERCENT_COVER","AGSM",2.5
"TAXON_COUNT","11",1996,"PERCENT_COVER","AGSM",2.83333333333333
"TAXON_COUNT","11",1997,"PERCENT_COVER","AGSM",2.52
"TAXON_COUNT","11",1998,"PERCENT_COVER","AGSM",3.21666666666667
"TAXON_COUNT","11",1999,"PERCENT_COVER","AGSM",5.31666666666667
"TAXON_COUNT","11",2000,"PERCENT_COVER","AGSM",2.72
"TAXON_COUNT","11",2001,"PERCENT_COVER","AGSM",6.45714285714286
"TAXON_COUNT","11",2002,"PERCENT_COVER","AGSM",2.85
"TAXON_COUNT","11",2003,"PERCENT_COVER","AGSM",7.56
"TAXON_COUNT","11",2004,"PERCENT_COVER","AGSM",5.11818181818182
"TAXON_COUNT","11",2005,"PERCENT_COVER","AGSM",10.5444444444444
"TAXON_COUNT","11",2006,"PERCENT_COVER","AGSM",14.6333333333333
"TAXON_COUNT","11",2007,"PERCENT_COVER","AGSM",9.77
"TAXON_COUNT","11",2008,"PERCENT_COVER","AGSM",2.78571428571429
"TAXON_COUNT","19",1995,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","19",1996,"PERCENT_COVER","AGSM",3.15
"TAXON_COUNT","19",1997,"PERCENT_COVER","AGSM",5.74
"TAXON_COUNT","19",1998,"PERCENT_COVER","AGSM",3.65
"TAXON_COUNT","19",1999,"PERCENT_COVER","AGSM",2.56666666666667
"TAXON_COUNT","19",2000,"PERCENT_COVER","AGSM",5.33333333333333
"TAXON_COUNT","19",2001,"PERCENT_COVER","AGSM",5.1
"TAXON_COUNT","19",2002,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","19",2003,"PERCENT_COVER","AGSM",3.15
"TAXON_COUNT","19",2004,"PERCENT_COVER","AGSM",2.8
"TAXON_COUNT","19",2005,"PERCENT_COVER","AGSM",5.2
"TAXON_COUNT","19",2006,"PERCENT_COVER","AGSM",2.7
"TAXON_COUNT","19",2007,"PERCENT_COVER","AGSM",3.5
"TAXON_COUNT","19",2008,"PERCENT_COVER","AGSM",2.6
"TAXON_COUNT","24",1995,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","24",1996,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","24",1997,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","24",1998,"PERCENT_COVER","AGSM",3.7
"TAXON_COUNT","24",1999,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","24",2000,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","24",2001,"PERCENT_COVER","AGSM",2.75
"TAXON_COUNT","24",2002,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","24",2003,"PERCENT_COVER","AGSM",3.5
"TAXON_COUNT","24",2004,"PERCENT_COVER","AGSM",3.1
"TAXON_COUNT","24",2005,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","24",2006,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","24",2007,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","24",2008,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","5A",1995,"PERCENT_COVER","AGSM",2.4
"TAXON_COUNT","5A",1996,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","5A",1997,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","5A",1998,"PERCENT_COVER","AGSM",2.8
"TAXON_COUNT","5A",1999,"PERCENT_COVER","AGSM",1.9
"TAXON_COUNT","5A",2000,"PERCENT_COVER","AGSM",2.1
"TAXON_COUNT","5A",2001,"PERCENT_COVER","AGSM",19.6
"TAXON_COUNT","5A",2002,"PERCENT_COVER","AGSM",0
"TAXON_COUNT","5A",2003,"PERCENT_COVER","AGSM",2.675
"TAXON_COUNT","5A",2004,"PERCENT_COVER","AGSM",4.4
"TAXON_COUNT","5A",2005,"PERCENT_COVER","AGSM",2.45
"TAXON_COUNT","5A",2006,"PERCENT_COVER","AGSM",2.925
"TAXON_COUNT","5A",2007,"PERCENT_COVER","AGSM",2.66666666666667
"TAXON_COUNT","5A",2008,"PERCENT_COVER","AGSM",2.35
"TAXON_COUNT","5B",1995,"PERCENT_COVER","AGSM",2.65
"TAXON_COUNT","5B",1996,"PERCENT_COVER","AGSM",2.8
"TAXON_COUNT","5B",1997,"PERCENT_COVER","AGSM",2.95
"TAXON_COUNT","5B",1998,"PERCENT_COVER","AGSM",2.95454545454545
"TAXON_COUNT","5B",1999,"PERCENT_COVER","AGSM",4.97777777777778
"TAXON_COUNT","5B",2000,"PERCENT_COVER","AGSM",2.30625
"TAXON_COUNT","5B",2001,"PERCENT_COVER","AGSM",3.96875
"TAXON_COUNT","5B",2002,"PERCENT_COVER","AGSM",2.48125
