"timestep","site","spp","count"
1,1,"spp1",53724
1,2,"spp1",143427
1,3,"spp1",9128
1,4,"spp1",0
1,5,"spp1",0
1,1,"spp2",3
1,2,"spp2",17888
1,3,"spp2",89751
1,4,"spp2",2
1,5,"spp2",0
1,1,"spp3",146273
1,2,"spp3",38685
1,3,"spp3",101121
1,4,"spp3",199998
1,5,"spp3",2e+05
2,1,"spp1",26095
2,2,"spp1",7204
2,3,"spp1",187247
2,4,"spp1",93615
2,5,"spp1",261
2,1,"spp2",173905
2,2,"spp2",449
2,3,"spp2",12753
2,4,"spp2",106385
2,5,"spp2",0
2,1,"spp3",0
2,2,"spp3",192347
2,3,"spp3",0
2,4,"spp3",0
2,5,"spp3",199739
3,1,"spp1",4077
3,2,"spp1",3150
3,3,"spp1",199784
3,4,"spp1",58543
3,5,"spp1",543
3,1,"spp2",195923
3,2,"spp2",664
3,3,"spp2",216
3,4,"spp2",141457
3,5,"spp2",0
3,1,"spp3",0
3,2,"spp3",196186
3,3,"spp3",0
3,4,"spp3",0
3,5,"spp3",199457
4,1,"spp1",2613
4,2,"spp1",2556
4,3,"spp1",199895
4,4,"spp1",33399
4,5,"spp1",635
4,1,"spp2",197387
4,2,"spp2",782
4,3,"spp2",105
4,4,"spp2",166601
4,5,"spp2",0
4,1,"spp3",0
4,2,"spp3",196662
4,3,"spp3",0
4,4,"spp3",0
4,5,"spp3",199365
5,1,"spp1",2206
5,2,"spp1",2213
5,3,"spp1",199870
5,4,"spp1",19110
5,5,"spp1",621
5,1,"spp2",197794
5,2,"spp2",880
5,3,"spp2",130
5,4,"spp2",180890
5,5,"spp2",0
5,1,"spp3",0
5,2,"spp3",196907
5,3,"spp3",0
5,4,"spp3",0
5,5,"spp3",199379
6,1,"spp1",2135
6,2,"spp1",2143
6,3,"spp1",199891
6,4,"spp1",11584
6,5,"spp1",638
6,1,"spp2",197865
6,2,"spp2",911
6,3,"spp2",109
6,4,"spp2",188416
6,5,"spp2",0
6,1,"spp3",0
6,2,"spp3",196946
6,3,"spp3",0
6,4,"spp3",0
6,5,"spp3",199362
7,1,"spp1",1997
7,2,"spp1",2027
7,3,"spp1",199882
7,4,"spp1",7902
7,5,"spp1",615
7,1,"spp2",198003
7,2,"spp2",883
7,3,"spp2",118
7,4,"spp2",192098
7,5,"spp2",0
7,1,"spp3",0
7,2,"spp3",197090
7,3,"spp3",0
7,4,"spp3",0
7,5,"spp3",199385
8,1,"spp1",1872
8,2,"spp1",1973
8,3,"spp1",199875
8,4,"spp1",5934
8,5,"spp1",595
8,1,"spp2",198128
8,2,"spp2",876
8,3,"spp2",125
8,4,"spp2",194066
8,5,"spp2",0
8,1,"spp3",0
8,2,"spp3",197151
8,3,"spp3",0
8,4,"spp3",0
8,5,"spp3",199405
9,1,"spp1",1939
9,2,"spp1",1923
9,3,"spp1",199889
9,4,"spp1",5229
9,5,"spp1",587
9,1,"spp2",198061
9,2,"spp2",944
9,3,"spp2",111
9,4,"spp2",194771
9,5,"spp2",0
9,1,"spp3",0
9,2,"spp3",197133
9,3,"spp3",0
9,4,"spp3",0
9,5,"spp3",199413
10,1,"spp1",1887
10,2,"spp1",1994
10,3,"spp1",199869
10,4,"spp1",4854
10,5,"spp1",575
10,1,"spp2",198113
10,2,"spp2",922
10,3,"spp2",131
10,4,"spp2",195146
10,5,"spp2",0
10,1,"spp3",0
10,2,"spp3",197084
10,3,"spp3",0
10,4,"spp3",0
10,5,"spp3",199425
