"timestep","alpha_q1","beta_q1","gamma_q1","alpha_q2","beta_q2","gamma_q2"
1,1.55155478619921,1.46820849795391,2.27800592213875,1.37836355429777,1.38107335284881,1.90362117537863
2,1.34835627126207,2.20729261392229,2.97621683849256,1.22522808506123,2.40935155951009,2.95200519749783
3,1.18141310764005,2.50689800902931,2.96168216738397,1.1106822968907,2.63425809683942,2.92582383360053
4,1.13711564159759,2.58157155799503,2.9355453984996,1.07428545246872,2.68184272979134,2.88106463042384
5,1.10299292209991,2.64207174690661,2.91418643651814,1.04864707526572,2.71355546094281,2.84556199768899
6,1.08135886015203,2.68327578764199,2.90158404719807,1.03428647194447,2.73140583177633,2.82505610119649
7,1.06816583015895,2.71016579032776,2.89490649129384,1.02668252511145,2.74117277858864,2.81431419008816
8,1.06163162137533,2.72361483670491,2.89147563509293,1.02312824940872,2.74533400680466,2.80882877642428
9,1.05859802239699,2.73009677723503,2.8900750493334,1.0215854222733,2.74729475617234,2.80659627359354
10,1.05715196545854,2.73312264961395,2.88932598087864,1.02081393034441,2.74820321177851,2.80540412200074
